course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1200,5,5,-1.0,-449,29,-1,-1,-1,154,-1,1,컴플리트위너,한,거,3,54.5,김정준,심승태,장석영,436,-13,12,4,11,1332,8,1,1,12,12,8,1,1,12,12,2,0.0,0.0,778,779,781,1181,70,76,5,6,91,5,3,5,3,980,84,103,8,10,284,25,24,8,8,776.1
1200,5,5,-1.0,103,29,-1,-1,-1,34,81,10,청운시대,한,거,2,54.5,페로비치,박재우,서상주,467,3,12,4,11,921,2,1,1,50,50,2,1,1,50,50,-1,-1,-1,-1,-1,-1,691,103,93,14,13,448,67,74,14,16,1273,167,132,13,10,252,39,32,15,12,753.17
1200,5,5,-2.0,-115,35,-1,-1,-1,125,30,9,베스트드래곤,한,거,3,51.5,하정훈,박천서,베스트샤인조합,467,-4,12,4,11,1356,7,1,0,14,0,7,1,0,14,0,2,0.0,0.0,777,780,784,320,18,22,5,6,278,16,22,5,7,3356,345,326,10,9,215,23,19,10,8,769.58
1200,5,5,1,-90,56,-1,-1,-1,115,-1,8,엄지강호,한,암,4,56,박병윤,김순근,권인택,469,-5,12,4,11,1727,23,1,4,4,17,10,0,3,0,30,16,6.3,31.3,743,766,812,1629,100,130,6,7,241,18,12,7,4,3889,269,331,6,8,258,19,27,7,10,764.03
1200,5,5,-0.5,-35,29,-1,-1,-1,28,131,7,당찬모습,한,암,4,53,벨리,양재철,이선종,483,-1,12,4,11,1696,21,2,3,9,14,12,1,0,8,0,13,15.4,23.1,749,764,776,61,3,0,4,0,61,3,0,4,0,6711,534,580,7,8,148,10,8,6,5,767.57
1200,5,5,-0.5,-36,28,-1,-1,-1,19,147,6,킹메신저,한,수,2,53.5,조인권,박대흥,죽마조합,496,-1,12,4,11,988,2,1,0,50,0,2,1,0,50,0,-1,-1,-1,-1,-1,-1,2556,355,274,13,10,244,21,30,8,12,5368,722,583,13,10,283,41,21,14,7,759.18
1200,5,5,0.5,-94,43,-1,72,-1,-1,-1,5,먼데이머니,한,암,3,51.5,임란,정호익,김근영,466,-4,12,4,11,1351,6,0,0,0,0,6,0,0,0,0,3,0.0,0.0,766,773,781,256,20,15,7,5,256,20,15,7,5,3232,298,337,9,10,314,35,24,11,7,763.81
1200,5,5,-1,-72,28,139,-1,-1,20,11,4,리얼프로,한,암,3,51,김동수,김동철,지대섭,443,-2,12,4,11,1353,8,0,2,0,25,8,0,2,0,25,3,0.0,33.3,763,764,765,870,69,82,7,9,362,30,34,8,9,99,3,8,3,8,99,3,8,3,8,765.73
1200,5,5,0,23,43,-1,-1,-1,51,72,3,성으뜸,한,암,3,54,김철호,구자흥,변완석,459,1,12,4,11,1307,3,1,0,33,0,3,1,0,33,0,1,0.0,0.0,781,781,781,1520,120,112,7,7,190,14,18,7,9,1080,107,121,9,11,191,24,23,12,12,773.9
1200,5,5,-2,0,49,-1,-1,-1,201,-1,2,금색조,한,암,3,53,문세영,신삼영,배태곤,504,0,12,4,11,1307,3,1,0,33,0,3,1,0,33,0,1,100.0,100.0,770,770,770,6520,1320,988,20,15,494,111,72,22,14,1175,120,109,10,9,211,19,30,9,14,764.57
1200,5,5,0,66,15,-1,-1,-1,-1,151,12,상비군,한,거,3,55,이동국,하재흥,지성한,481,1,12,4,11,1310,7,1,1,14,14,7,1,1,14,14,1,0.0,0.0,842,842,842,3072,208,240,6,7,97,2,3,2,3,9996,903,967,9,9,319,33,29,10,9,788.75
1200,5,5,-0.5,244,49,-1,-1,-1,-1,145,11,힘찬출발,한,거,3,55.5,문정균,홍대유,김종식,478,12,12,4,11,1300,3,1,0,33,0,3,1,0,33,0,-1,-1,-1,-1,-1,-1,5365,396,469,7,8,259,20,14,7,5,2439,222,185,9,7,235,25,10,10,4,763.53
