course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,4,5,0,571,14,-1,-1,-1,86,9,9,0,1,4,51,476.0,8,11,4,11,1714,22,1,0,4,0,11,0,0,0,0,8,0.0,0.0,624,628,635,77,1,5,1,6,77,1,5,1,6,989,85,103,8,10,285,24,23,8,8
1000,4,5,1,254,55,-1,-1,-1,-1,105,8,0,0,3,52,486.0,14,11,4,11,1353,6,1,0,16,0,6,1,0,16,0,2,0.0,0.0,621,624,627,1992,169,183,8,9,166,22,13,13,7,6171,742,695,12,11,353,33,34,9,9
1000,4,5,0,285,21,-1,-1,-1,72,-1,7,0,0,5,54,435.0,6,11,4,11,2044,41,2,2,4,4,13,0,0,0,0,15,0.0,0.0,613,636,649,3080,209,240,6,7,103,3,2,2,1,8805,894,897,10,10,239,22,29,9,12
1000,4,5,-2.5,0,35,-1,-1,-1,116,-1,6,0,0,3,52.5,509.0,0,11,4,11,1406,7,1,0,14,0,7,1,0,14,0,2,0.0,0.0,640,643,646,2865,219,221,7,7,433,33,40,7,9,819,45,57,5,6,207,12,16,5,7
1000,4,5,-1.0,219,41,-1,-1,-1,74,39,5,0,1,2,54.5,474.0,9,11,4,11,994,2,1,1,50,50,2,1,1,50,50,2,50.0,100.0,617,622,627,1430,75,113,5,7,588,35,41,5,6,675,86,77,12,11,262,40,40,15,15
1000,4,5,2.0,163,98,-1,-1,-1,116,25,1,0,1,4,56.5,472.0,16,11,4,11,1656,19,1,1,5,5,7,0,1,0,14,8,0.0,12.5,628,634,648,1003,49,44,4,4,107,5,3,4,2,8049,693,705,8,8,155,2,8,1,5
1000,4,5,-0.5,171,35,-1,-1,-1,31,97,3,0,1,2,54.5,492.0,6,11,4,11,992,4,1,0,25,0,4,1,0,25,0,2,50.0,50.0,624,625,626,78,4,1,5,1,78,4,1,5,1,2254,212,206,9,9,174,12,15,6,8
1000,4,5,0,-36,28,-1,-1,-1,53,42,2,0,0,3,52,463.0,-1,11,4,11,1304,7,1,0,14,0,7,1,0,14,0,5,20.0,20.0,627,633,639,1923,135,141,7,7,520,36,39,6,7,3241,298,337,9,10,314,34,24,10,7
1000,4,5,-0.5,-371,27,-1,-1,-1,121,-1,11,0,1,3,54,454.0,-10,11,4,11,1309,11,0,2,0,18,11,0,2,0,18,6,0.0,16.7,626,632,645,2732,205,216,7,7,444,39,40,8,9,1104,91,94,8,8,341,22,27,6,7
1000,4,5,1,-412,34,-1,49,-1,73,15,10,0,0,3,52,430.0,-14,11,4,11,1355,9,0,1,0,11,8,0,1,0,12,5,0.0,0.0,623,636,664,2565,355,276,13,10,253,21,32,8,12,8238,733,835,8,10,197,16,10,8,5
1000,4,5,0.5,-334,21,-1,-1,-1,133,-1,4,0,2,3,53,466.0,-7,11,4,11,1326,11,0,2,0,18,5,0,0,0,0,5,0.0,0.0,619,629,640,2497,289,290,11,11,236,38,40,16,16,7414,599,657,8,8,198,18,19,9,9
