course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,5,6,0,0,1000,0,0,0,219,0,219,655.378486056,636.088709677,775.2310909,843.1374421,903.3792085,1142.496707,825.951940706,1,0,0,2,53,480.0,-16, 8,1,12,1348,12,5,0,41,0,12,5,0,41,0,-1,-1,-1,-1,-1,-1,2540,188,223,7,8,158,20,22,12,13,7315,693,750,9,10,274,43,31,15,11
1000,5,6,0,0,1000,0,0,0,114,15,129,670.815374861,628.024193548,775.2310909,843.1374421,903.3792085,1142.496707,827.180669485,2,0,2,2,55,466.0,4, 8,1,12,1387,8,2,0,25,0,8,2,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1291,195,110,15,8,294,34,23,11,7
1000,5,6,0,0,1000,0,0,0,0,138,138,638.4116297,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,823.51128465,3,0,-1,2,55,483.0,-14, 8,1,12,-1,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,13501,2014,1850,14,13,413,39,52,9,12,683,87,79,12,11,263,39,41,14,15
1000,5,6,0,0,1000,0,19,0,0,176,195,670.965287997,643.14516129,775.2310909,843.1374421,903.3792085,1142.496707,829.725816298,8,0,-1,2,55,512.0,3, 8,1,12,-1,5,0,0,0,0,5,0,0,0,0,-1,-1,-1,-1,-1,-1,5380,399,469,7,8,263,23,13,8,4,7315,693,750,9,10,274,43,31,15,11
1000,5,6,0,0,1000,0,0,0,0,124,124,657.258064516,621.975806452,775.2310909,843.1374421,903.3792085,1142.496707,823.913053245,5,0,0,2,53,458.0,-4, 8,1,12,1374,7,1,0,14,0,7,1,0,14,0,-1,-1,-1,-1,-1,-1,2743,205,217,7,7,446,39,41,8,9,1086,107,121,9,11,189,23,23,12,12
1000,5,6,0,0,1000,0,0,0,0,154,154,653.386454183,623.991935484,775.2310909,843.1374421,903.3792085,1142.496707,823.603806361,6,0,2,2,55,457.0,-5, 8,1,12,1345,9,1,1,11,11,9,1,1,11,11,-1,-1,-1,-1,-1,-1,889,70,83,7,9,366,28,33,7,9,999,85,105,8,10,291,23,25,7,8
1000,5,6,0,0,1000,0,0,0,0,208,208,326.112402725,644.153225806,775.2310909,843.1374421,903.3792085,1142.496707,772.418346172,7,0,2,2,55,454.0,-7, 8,1,12,1304,9,0,1,0,11,9,0,1,0,11,-1,-1,-1,-1,-1,-1,4258,354,348,8,8,71,3,5,4,7,3918,339,360,8,9,275,17,20,6,7
1000,5,6,0,0,1000,0,0,0,234,13,247,451.416486347,643.14516129,775.2310909,843.1374421,903.3792085,1142.496707,793.134349356,4,0,0,2,53,498.0,-9, 8,1,12,1333,12,1,0,8,0,12,1,0,8,0,-1,-1,-1,-1,-1,-1,6546,1327,993,20,15,487,110,72,22,14,999,85,105,8,10,291,23,25,7,8
1200,5,6,1,-445,27,0,0,0,137,0,137,457.078835322,638.4116297,794.35483871,843.1374421,903.3792085,1142.496707,796.476443555,1,0,2,2,55,486.0,-12,14,2,12,1325,9,0,0,0,0,8,0,0,0,0,1,0.0,0.0,799,799,799,6352,680,715,10,11,79,10,13,12,16,1311,102,107,7,8,179,14,8,7,4
1200,5,6,0,-477,21,0,0,0,0,171,171,666.666666667,626.008064516,773.185483871,843.1374421,903.3792085,1142.496707,825.812262109,10,0,0,2,53,454.0,-10,14,2,12,1317,11,1,3,9,27,10,1,3,10,30,-1,-1,-1,-1,-1,-1,4258,354,348,8,8,71,3,5,4,7,3898,270,331,6,8,255,20,24,7,9
