course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1200,3,6,0,0,100,0,0,0,120,12,132,638,638,775,843,903,1142,860,764,772,782,1,0,2,2,53,459,-12,12,3,12,984,0,0,0,13.651568474,10.832254696,0,0,0,11.9536307214,10.0965335167,0,0,0,771,779,789,681.0,33.0,41.0,4.0,6.0,265.0,16.0,18.0,6.0,6.0,694,88,81,12,11,262,38,40,14,15
1200,3,6,0,-556,27,0,0,0,93,93,186,655,655,796,865,927,1173,883,764,772,782,10,0,1,2,54,481,-15,12,3,12,992,1,0,0,0.0,0.0,1,0,0,0.0,0.0,0,0,0,771,779,789,5041.0,633.0,629.0,12.0,12.0,269.0,37.0,41.0,13.0,15.0,3468,303,311,8,8,175,35,20,20,11
1200,3,6,0,0,100,0,64,0,31,26,121,638,638,775,843,903,1142,860,764,772,782,11,0,1,2,54,450,-3,12,3,12,956,0,0,0,13.651568474,10.832254696,0,0,0,11.9536307214,10.0965335167,0,0,0,771,779,789,918.0,109.0,84.0,11.0,9.0,443.0,51.0,49.0,11.0,11.0,3374,346,328,10,9,209,21,19,10,9
1200,3,6,0,150,20,0,0,0,19,127,146,637,631,770,837,897,1135,854,764,772,782,12,0,1,2,55,476,3,12,3,12,1028,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,771,779,789,1313.0,98.0,83.0,7.0,6.0,95.0,2.0,6.0,2.0,6.0,3927,339,360,8,9,275,17,20,6,7
1200,3,6,1,-324,34,0,0,0,61,65,126,640,640,777,846,906,1146,863,764,772,782,2,0,0,2,53.5,496,-11,12,3,12,1005,1,0,1,0.0,100.0,1,0,1,0.0,100.0,0,0,0,771,779,789,754.0,115.0,101.0,15.0,13.0,460.0,73.0,77.0,15.0,16.0,2160,194,215,8,9,444,38,49,8,11
1200,3,6,0,0,100,0,0,0,59,62,121,638,638,775,843,903,1142,860,764,772,782,9,0,0,2,52,479,-9,12,3,12,931,0,0,0,13.651568474,10.832254696,0,0,0,11.9536307214,10.0965335167,0,0,0,771,779,789,2754.0,207.0,218.0,7.0,7.0,431.0,38.0,42.0,8.0,9.0,1304,195,111,14,8,295,33,23,11,7
1200,3,6,0,357,28,0,0,0,39,104,143,652,622,774,842,902,1140,859,764,772,782,4,0,1,2,55.5,484,10,12,3,12,949,2,0,1,0.0,50.0,2,0,1,0.0,50.0,1,4,9,771,779,789,905.0,74.0,84.0,8.0,9.0,367.0,31.0,30.0,8.0,8.0,3670,276,302,7,8,317,21,39,6,12
1200,3,6,0,-147,41,0,0,0,137,63,200,648,638,781,850,910,1152,867,764,772,782,5,0,1,2,54,478,-6,12,3,12,990,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,771,779,789,1210.0,70.0,77.0,5.0,6.0,120.0,5.0,4.0,4.0,3.0,2279,216,210,9,9,199,16,19,8,9
1200,3,6,0,0,100,0,154,0,17,0,171,671,671,816,887,951,1202,905,764,772,782,6,0,0,2,50,455,1,12,3,12,946,0,0,0,13.651568474,10.832254696,0,0,0,11.9536307214,10.0965335167,0,0,0,771,779,789,2391.09886346,275.50137037,255.941478537,8.78740882778,8.34462727257,296.891292665,31.8473990293,29.6663766034,8.64565385309,8.28314178733,1124,69,77,6,6,212,9,12,4,5
1200,3,6,0,0,100,0,0,0,0,115,115,638,638,775,843,903,1142,860,764,772,782,7,0,2,2,54,504,-7,12,3,12,1000,0,0,0,13.651568474,10.832254696,0,0,0,11.9536307214,10.0965335167,0,0,0,771,779,789,2014.0,171.0,185.0,8.0,9.0,171.0,21.0,12.0,12.0,7.0,6196,744,697,12,11,355,30,33,8,9
1200,3,6,0,37,27,0,153,0,0,0,153,641,641,779,848,908,1148,865,764,772,782,8,0,1,2,54,494,1,12,3,12,950,1,0,0,0.0,0.0,1,0,0,0.0,0.0,0,0,0,771,779,789,6564.0,1331.0,995.0,20.0,15.0,480.0,111.0,71.0,23.0,14.0,1120,92,95,8,8,340,21,28,6,8
1200,3,6,2,-112,27,0,0,0,16,120,136,650,650,790,860,921,1165,877,764,772,782,3,0,0,2,52,474,-3,12,3,12,1031,1,0,0,0.0,0.0,1,0,0,0.0,0.0,0,0,0,771,779,789,1368.0,50.0,62.0,3.0,4.0,57.0,0.0,1.0,0.0,1.0,10557,809,932,7,8,337,23,25,6,7
