course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1200,7,3,0,500,34,0,0,0,72,102,174,654.933604357,617.923751132,754.365255004,810.162593615,891.400759666,1136.55118058,810.889524058,748.941050256,754.365255004,758.913634147,1,0,1,3,52,520.0,17, 8,11,12,1411,13,3,3,23,23,8,1,2,12,25,5,0.0,20.0,751,755,761,2749.0,206.0,218.0,7.0,7.0,438.0,37.0,42.0,8.0,9.0,10550,809,931,7,8,334,23,24,6,7
1200,7,3,0.5,147,34,0,0,0,135,0,135,652.177130998,630.784623399,747.177704314,809.88689095,889.473925425,1141.98661753,811.914482103,727.141178888,747.177704314,789.788802404,2,0,0,4,52.5,490.0,5, 8,11,12,1753,17,3,3,17,17,8,0,1,0,12,5,40.0,40.0,740,752,780,2136.86684657,247.169585126,224.215484234,9.38131301591,8.71151403139,288.018350569,32.6916274396,30.0780093738,9.45360653101,8.90543406319,2269,214,207,9,9,189,14,16,7,8
1200,7,3,0,178,28,0,0,0,118,37,155,638.335348753,622.802810079,749.940439883,820.581059416,884.195143691,1125.32954631,806.864058022,734.694695098,749.940439883,762.423050525,3,0,0,3,52,446.0,5, 8,11,12,1347,15,3,1,20,6,10,2,1,20,10,4,25.0,50.0,735,752,763,2509.0,290.0,291.0,11.0,11.0,235.0,36.0,40.0,15.0,17.0,8902,770,823,8,9,291,21,27,7,9
1200,7,3,-4,0,34,0,0,0,0,154,154,639.06104484,630.239890029,762.4303494,839.632041428,884.881078889,1136.55118058,815.46593086,762.4303494,762.4303494,762.4303494,8,4,1,2,51,447.0,0, 8,11,12,977,4,1,0,25,0,4,1,0,25,0,2,0.0,0.0,743,751,760,899.0,72.0,84.0,8.0,9.0,368.0,30.0,32.0,8.0,8.0,10022,905,967,9,9,327,34,28,10,8
1200,7,3,0.5,0,13,0,0,0,171,0,171,625.880309508,621.514660424,771.36704833,820.13238649,897.612135396,1112.48557431,808.16535241,756.374660764,771.36704833,793.839001391,5,4,1,4,52.5,498.0,0, 8,11,12,1659,12,1,1,8,8,7,1,1,14,14,4,0.0,25.0,747,766,784,2136.86684657,247.169585126,224.215484234,9.38131301591,8.71151403139,288.018350569,32.6916274396,30.0780093738,9.45360653101,8.90543406319,1187,121,110,10,9,209,19,29,9,13
1200,7,3,0,121,41,0,153,0,0,0,153,617.071243196,620.012257801,764.482757401,819.538862558,871.981642592,1136.55118058,804.939657354,745.811019967,764.482757401,785.673510676,6,4,2,3,57,468.0,5, 8,11,12,1314,11,2,1,18,9,9,1,0,11,0,5,0.0,0.0,747,764,786,2136.86684657,247.169585126,224.215484234,9.38131301591,8.71151403139,288.018350569,32.6916274396,30.0780093738,9.45360653101,8.90543406319,688,87,80,12,11,261,38,41,14,15
1200,7,3,3,-50,20,0,0,0,49,7,56,635.681942546,634.37680427,769.590888742,839.632041428,880.92065814,1115.51969788,812.620338834,749.688464386,769.590888742,787.459784227,7,0,2,4,54,473.0,-1, 8,11,12,1705,12,3,2,25,16,8,2,1,25,12,6,16.7,33.3,750,767,787,6559.0,1330.0,995.0,20.0,15.0,491.0,112.0,73.0,22.0,14.0,79,13,13,16,16,79,13,13,16,16
1200,7,3,1,-322,28,0,0,0,81,0,81,636.823421679,637.450004301,762.764915053,832.958058323,891.400759666,1127.0946621,814.748636854,755.637252115,762.764915053,768.41851357,4,0,2,4,56,477.0,-9, 8,11,12,1735,17,3,4,17,23,9,1,3,11,33,3,33.3,66.7,763,767,769,2136.86684657,247.169585126,224.215484234,9.38131301591,8.71151403139,288.018350569,32.6916274396,30.0780093738,9.45360653101,8.90543406319,1294,195,110,15,8,290,33,22,11,7
