course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1700,3,3,1,0,43,1,4,1,4,55.5,466,0,12,8,12,1681,14,1,3,7,21,6,1,2,16,33,483,69,44,14,9,336,49,32,14,9,696,106,76,15,10,185,20,15,10,8
1700,3,3,1,0,50,10,4,2,4,56,466,0,12,8,12,1715,22,2,3,9,13,9,1,0,11,0,6564,1331,995,20,15,480,111,71,23,14,1191,121,110,10,9,207,19,27,9,13
1700,3,3,0,0,29,11,4,1,3,52.5,466,0,12,8,12,1399,8,1,0,12,0,6,1,0,16,0,1649,69,101,4,6,40,1,2,2,5,7425,599,657,8,8,201,17,18,8,8
1700,3,3,0,0,42,12,0,0,3,51,466,0,12,8,12,1404,12,3,2,25,16,7,0,1,0,14,445,43,44,9,9,316,33,38,10,12,3232,239,277,7,8,303,23,30,7,9
1700,3,3,1,0,99,2,4,1,3,56,466,0,12,8,12,1415,9,2,0,22,0,5,2,0,40,0,3046,271,269,8,8,317,31,23,9,7,2200,144,179,6,8,160,9,8,5,5
1700,3,3,0,0,29,3,4,1,3,56.5,466,0,12,8,12,1372,13,1,2,7,15,10,1,2,10,20,5041,633,629,12,12,269,37,41,13,15,3468,303,311,8,8,175,35,20,20,11
1700,3,3,1,0,29,4,4,0,4,52.5,466,0,12,8,12,1722,22,2,0,9,0,11,2,0,18,0,114,10,10,8,8,114,10,10,8,8,1191,121,110,10,9,207,19,27,9,13
1700,3,3,2,0,29,5,2,0,3,54,466,0,12,8,12,1314,12,2,1,16,8,10,2,1,20,10,754,115,101,15,13,460,73,77,15,16,7697,720,728,9,9,246,30,28,12,11
1700,3,3,1,0,29,6,7,1,4,56.5,466,0,12,8,12,1561,16,0,3,0,18,9,0,1,0,11,109,4,5,3,4,109,4,5,3,4,3670,276,302,7,8,317,21,39,6,12
1700,3,3,5,0,29,7,4,2,3,51,466,0,12,8,12,1362,8,0,2,0,25,5,0,1,0,20,681,33,41,4,6,265,16,18,6,6,694,88,81,12,11,262,38,40,14,15
1700,3,3,0,0,36,8,0,2,5,52.5,466,0,12,8,12,2095,22,3,2,13,9,9,2,1,22,11,2896,221,224,7,7,430,32,41,7,9,1740,147,144,8,8,203,22,14,10,6
1700,3,3,0,0,42,9,4,2,3,52,466,0,12,8,12,1397,11,1,1,9,9,8,1,1,12,12,918,109,84,11,9,443,51,49,11,11,1124,69,77,6,6,212,9,12,4,5
