course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,4,4,0,-48,42,1,4,1,2,52,495,-2,12,8,12,1032,2,0,0,0,0,2,0,0,0,0,2896,221,224,7,7,430,32,41,7,9,581,74,44,12,7,215,33,20,15,9
1300,4,4,2,-482,27,10,0,2,4,54.5,517,-13,12,8,12,1721,18,2,2,11,11,12,2,2,16,16,754,115,101,15,13,460,73,77,15,16,2877,232,247,8,8,251,18,31,7,12
1300,4,4,4,0,28,11,0,2,3,57,500,0,12,8,12,1358,10,3,1,30,10,9,3,1,33,11,4638,713,613,15,13,457,55,43,12,9,1304,195,111,14,8,295,33,23,11,7
1300,4,4,0,-630,27,12,0,0,4,51,441,-17,12,8,12,1728,25,1,8,4,32,9,0,2,0,22,905,74,84,8,9,367,31,30,8,8,2279,216,210,9,9,199,16,19,8,9
1300,4,4,1,48,41,2,4,1,2,54,512,2,12,8,12,968,3,0,0,0,0,3,0,0,0,0,445,43,44,9,9,316,33,38,10,12,3232,239,277,7,8,303,23,30,7,9
1300,4,4,0,-7,308,3,0,0,4,52,458,-2,12,8,12,1742,15,1,2,6,13,2,0,0,0,0,1638,70,83,4,5,73,6,5,8,6,8059,694,705,8,8,152,3,8,1,5
1300,4,4,3,-112,27,4,2,0,3,51.5,518,-3,12,8,12,1342,18,0,2,0,11,13,0,2,0,15,483,69,44,14,9,336,49,32,14,9,2877,232,247,8,8,251,18,31,7,12
1300,4,4,1,-150,20,5,0,1,3,55,478,-3,12,8,12,1324,8,3,1,37,12,8,3,1,37,12,918,109,84,11,9,443,51,49,11,11,7697,720,728,9,9,246,30,28,12,11
1300,4,4,0,285,14,6,2,2,3,52,452,4,12,8,12,1417,18,0,0,0,0,13,0,0,0,0,2754,207,218,7,7,431,38,42,8,9,10557,809,932,7,8,337,23,25,6,7
1300,4,4,3,29,34,7,0,0,4,51,437,1,12,8,12,1741,24,1,7,4,29,12,1,4,8,33,114,10,10,8,8,114,10,10,8,8,10032,906,968,9,9,328,35,28,10,8
1300,4,4,0,-113,62,8,4,1,3,51,494,-7,12,8,12,1396,11,0,0,0,0,7,0,0,0,0,109,4,5,3,4,109,4,5,3,4,3232,239,277,7,8,303,23,30,7,9
1300,4,4,0,-239,21,9,0,0,4,52,465,-5,12,8,12,1764,12,2,2,16,16,7,1,2,14,28,6564,1331,995,20,15,480,111,71,23,14,2092,218,178,10,8,276,30,30,10,10
