course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1200,3,4,1,0,28,12,0,1,4,51.5,463,0,12,10,12,1702,31,1,2,3,6,11,1,0,9,0,1649,69,101,4,6,40,1,2,2,5,7324,694,750,9,10,270,41,29,15,10
1200,3,4,0,0,35,11,0,1,3,53.5,463,0,12,10,12,1390,10,1,3,10,30,10,1,3,10,30,6564,1331,995,20,15,480,111,71,23,14,3837,349,353,9,9,183,14,15,7,8
1200,3,4,0,0,29,5,0,1,4,54,463,0,12,10,12,1766,21,3,1,14,4,8,1,1,12,12,905,74,84,8,9,367,31,30,8,8,3670,276,302,7,8,317,21,39,6,12
1200,3,4,2,0,28,6,0,0,3,52.5,463,0,12,10,12,1303,10,2,2,20,20,10,2,2,20,20,5647,699,657,12,11,236,38,32,16,13,3260,304,342,9,10,315,38,28,12,8
1200,3,4,1,0,77,7,0,1,4,52.5,463,0,12,10,12,1721,21,1,3,4,14,4,0,0,0,0,3060,115,143,3,4,105,4,8,3,7,8059,694,705,8,8,152,3,8,1,5
1200,3,4,0,0,56,4,0,0,4,52.5,463,0,12,10,12,1763,21,1,3,4,14,5,0,0,0,0,1210,70,77,5,6,120,5,4,4,3,3468,303,311,8,8,175,35,20,20,11
1200,3,4,4,0,29,9,0,1,3,55,463,0,12,10,12,1385,11,1,3,9,27,8,1,3,12,37,2014,171,185,8,9,171,21,12,12,7,6196,744,697,12,11,355,30,33,8,9
1200,3,4,0,0,63,10,0,0,3,51,463,0,12,10,12,1328,12,2,2,16,16,9,2,2,22,22,1011,50,44,4,4,102,6,3,5,2,2160,194,215,8,9,444,38,49,8,11
1200,3,4,1,0,63,1,0,0,4,51,463,0,12,10,12,1737,13,2,1,15,7,8,2,1,25,12,109,4,5,3,4,109,4,5,3,4,1300,171,134,13,10,259,41,34,15,13
1200,3,4,4,0,36,3,0,0,3,52,463,0,12,10,12,1405,10,1,3,10,30,8,1,3,12,37,1959,138,142,7,7,532,37,40,6,7,1191,121,110,10,9,207,19,27,9,13
1200,3,4,0,0,43,2,0,0,4,56,463,0,12,10,12,1718,19,1,6,5,31,8,0,2,0,25,918,109,84,11,9,443,51,49,11,11,1010,88,106,8,10,291,26,23,8,7
1200,3,4,0,0,29,8,0,1,4,56.5,463,0,12,10,12,1722,15,2,3,13,20,11,1,2,9,18,754,115,101,15,13,460,73,77,15,16,7425,599,657,8,8,201,17,18,8,8
