course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1000,5,6,0,-1,-1,-1,-1,-1,-1,135,1,다이아리빙,한,수,2,54,장추열,배대선,강종우,487.0,12,12,1,11,972,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1992,169,183,8,9,166,22,13,13,7,6171,742,695,12,11,353,33,34,9,9,626.64
1000,5,6,0,-229,35,-1,-1,-1,48,70,10,스칼렛위치,한,암,2,52,유승완,홍대유,최동근,458.0,-8,12,1,11,1014,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,629,629,629,2865,219,221,7,7,433,33,40,7,9,2444,223,185,9,7,235,25,10,10,4,632.85
1000,5,6,0,-1,-1,59,-1,-1,-1,65,11,천빛,한,암,2,52,임기원,황영원,조금제,445.0,1,12,1,11,929,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,877,103,79,11,9,426,47,44,11,10,1115,68,76,6,6,217,8,12,3,5,644.37
1000,5,6,1,-91,22,-1,-1,-1,-1,291,12,속보태자,한,수,2,55,방춘식,박희철,신영식,473.0,-2,12,1,11,1008,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,632,632,632,4255,354,348,8,8,72,3,5,4,6,3912,339,360,8,9,276,18,21,6,7,632.85
1000,5,6,0,-35,29,-1,-1,-1,211,-1,2,태양의전설,한,수,2,54,이혁,유재길,박정열,478.0,-1,12,1,11,948,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,637,637,637,1923,135,141,7,7,520,36,39,6,7,4581,371,396,8,8,256,15,12,5,4,634.15
1000,5,6,1,-69,29,-1,109,-1,-1,47,9,수성챔프,한,수,2,55,박을운,박종곤,(주)수성,483.0,-2,12,1,11,965,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,635,635,635,2497,289,290,11,11,236,38,40,16,16,3454,301,310,8,8,168,33,21,19,12,631.76
1000,5,6,0,-1,-1,-1,-1,-1,-1,119,4,라이언록,한,수,2,54,문세영,이신영,정영식,514.0,-3,12,1,11,957,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,6538,1325,991,20,15,495,110,74,22,14,1281,194,110,15,8,292,33,24,11,8,632.43
1000,5,6,0,-1,-1,-1,61,-1,-1,82,5,문아일킹,한,거,2,54,이현종,박천서,이창모,457.0,-18,12,1,11,981,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,462,68,43,14,9,340,53,33,15,9,3361,346,327,10,9,212,22,19,10,8,636.02
1000,5,6,0,-1,-1,-1,-1,-1,86,54,6,골드시나,한,암,2,52,조재로,서홍수,허도행,452.0,7,12,1,11,933,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,420,42,39,10,9,313,34,35,10,11,1309,102,107,7,8,178,14,8,7,4,644.06
1000,5,6,0,139,43,-1,-1,-1,38,75,7,빅트리오,한,수,2,54,조인권,심승태,이종원,482.0,6,12,1,11,958,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,625,625,625,2565,355,276,13,10,253,21,32,8,12,989,85,103,8,10,285,24,23,8,8,630.51
1000,5,6,0,107,28,-1,-1,-1,166,-1,8,마성신화,한,수,2,54,김혜선,안병기,천사들의 안장,476.0,3,12,1,11,937,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,645,645,645,2732,205,216,7,7,444,39,40,8,9,2254,212,206,9,9,174,12,15,6,8,635.92
1000,5,6,0,-1,-1,-1,-1,-1,29,131,3,업데이트,한,수,2,50,이동하,하재흥,강균호,456.0,-5,12,1,11,932,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,91,9,9,9,9,91,9,9,9,9,10005,903,967,9,9,322,33,29,10,9,640.93
