course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,3,6,0,0,22,1,0,2,2,54,454,0,12,1,12,970,3,0,0,0.0,0.0,3,0,0,0.0,0.0,6564.0,1331.0,995.0,20.0,15.0,480.0,111.0,71.0,23.0,14.0,10032,906,968,9,9,328,35,28,10,8
1000,3,6,1,27,36,10,0,2,2,55.5,455,1,12,1,12,961,2,0,1,0.0,50.0,2,0,1,0.0,50.0,754.0,115.0,101.0,15.0,13.0,460.0,73.0,77.0,15.0,16.0,1300,171,134,13,10,259,41,34,15,13
1000,3,6,0,27,36,11,0,1,2,54,461,1,12,1,12,961,2,0,0,0.0,0.0,2,0,0,0.0,0.0,3060.0,115.0,143.0,3.0,4.0,105.0,4.0,8.0,3.0,7.0,3907,271,331,6,8,248,19,24,7,9
1000,3,6,0,260,50,12,0,1,2,54,508,13,12,1,12,942,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1210.0,70.0,77.0,5.0,6.0,120.0,5.0,4.0,4.0,3.0,1300,171,134,13,10,259,41,34,15,13
1000,3,6,0,45,22,2,0,1,2,54,481,1,12,1,12,983,2,0,0,0.0,0.0,2,0,0,0.0,0.0,4258.0,354.0,348.0,8.0,8.0,69.0,3.0,5.0,4.0,7.0,10557,809,932,7,8,337,23,25,6,7
1000,3,6,1,57,35,9,0,1,2,55,476,2,12,1,12,953,2,0,0,0.0,0.0,2,0,0,0.0,0.0,2754.0,207.0,218.0,7.0,7.0,431.0,38.0,42.0,8.0,9.0,1304,195,111,14,8,295,33,23,11,7
1000,3,6,0,-138,29,4,0,2,2,54,467,-4,12,1,12,1024,3,0,0,0.0,0.0,3,0,0,0.0,0.0,1638.0,70.0,83.0,4.0,5.0,73.0,6.0,5.0,8.0,6.0,8059,694,705,8,8,152,3,8,1,5
1000,3,6,0,0,100,5,0,1,2,54,473,-13,12,1,12,995,0,0,0,6.44577953277,8.55935647459,0,0,0,5.98217716013,8.38167672762,1649.0,69.0,101.0,4.0,6.0,40.0,1.0,2.0,2.0,5.0,5394,728,584,13,10,287,46,22,16,7
1000,3,6,0,-205,49,6,0,0,2,52,474,-10,12,1,12,1017,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1260.0,89.0,73.0,7.0,5.0,189.0,13.0,12.0,6.0,6.0,10557,809,932,7,8,337,23,25,6,7
1000,3,6,0,0,100,7,0,2,2,54,473,6,12,1,12,963,0,0,0,6.44577953277,8.55935647459,0,0,0,5.98217716013,8.38167672762,1656.0,100.0,132.0,6.0,7.0,244.0,16.0,14.0,6.0,5.0,3374,346,328,10,9,209,21,19,10,9
1000,3,6,3,-276,29,8,0,1,2,52,486,-8,12,1,12,1003,4,0,0,0.0,0.0,4,0,0,0.0,0.0,2345.99146556,252.184128852,238.15708531,8.33465420259,8.05160473486,288.151850595,29.3911531189,28.0724929094,8.13113480759,7.95548224814,2279,216,210,9,9,199,16,19,8,9
1000,3,6,0,111,36,3,0,1,2,54,474,4,12,1,12,1002,2,0,0,0.0,0.0,2,0,0,0.0,0.0,918.0,109.0,84.0,11.0,9.0,443.0,51.0,49.0,11.0,11.0,1010,88,106,8,10,291,26,23,8,7
