course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1700,6,3,-1,-65,62,-1,-1,-1,17,102,3,덕삼호,한,암,3,51,임기원,홍대유,김재덕,471.0,-4,11,10,11,1307,8,3,0,37,0,8,3,0,37,0,-1,-1,-1,-1,-1,-1,877,103,79,11,9,426,47,44,11,10,2444,223,185,9,7,235,25,10,10,4,1134.38
1700,6,3,-2.5,13,224,-1,-1,-1,128,35,2,스테파노,한,수,5,52,이혁,이희영,세계건설(주),488.0,3,11,10,11,2054,17,3,2,17,11,5,1,0,20,0,1,0.0,0.0,1134,1134,1134,1923,135,141,7,7,520,36,39,6,7,7414,599,657,8,8,198,18,19,9,9,1146.39
1700,6,3,0,-244,41,-1,-1,-1,146,-1,11,비마,한,수,5,52,박병윤,박종곤,세계건설(주),495.0,-10,11,10,11,2079,19,3,1,15,5,5,1,0,20,0,-1,-1,-1,-1,-1,-1,1637,100,131,6,8,242,17,13,7,5,3454,301,310,8,8,168,33,21,19,12,1142.72
1700,6,3,0.0,47,21,-1,143,-1,-1,14,10,천하비,한,수,3,56.5,조성곤,김학수,박세용,448.0,1,11,10,11,1373,15,4,2,26,13,12,4,2,33,16,2,50.0,50.0,1121,1125,1129,4606,709,609,15,13,430,53,40,12,9,2221,230,201,10,9,158,14,16,8,10,1126.18
1700,6,3,-4,-98,41,-1,-1,-1,-1,158,1,선파이터,한,거,4,52,김옥성,최영주,김정철,454.0,-4,11,10,11,1669,15,2,3,13,20,8,1,2,12,25,-1,-1,-1,-1,-1,-1,7474,518,601,6,8,281,7,18,2,6,4079,303,318,7,7,173,10,14,5,8,1139.44
1700,6,3,0.0,-112,27,-1,16,-1,144,9,9,라떼이천,한,암,6,52.5,이동국,최용구,이종욱,470.0,-3,11,10,11,2448,38,3,4,7,10,11,0,0,0,0,5,0.0,0.0,1127,1150,1167,3080,209,240,6,7,103,3,2,2,1,686,105,76,15,11,185,22,16,11,8,1148.65
1700,6,3,0.5,111,27,-1,69,-1,-1,41,5,딕시플로잇,한,수,3,54,유승완,정호익,김경민,462.0,3,11,10,11,1338,15,4,1,26,6,11,3,0,27,0,4,50.0,50.0,1096,1117,1138,2865,219,221,7,7,433,33,40,7,9,3241,298,337,9,10,314,34,24,10,7,1129.58
1700,6,3,-0.5,-59,34,-1,-1,-1,103,37,6,신봉불패,한,수,4,56.5,박을운,박종곤,최준호 ,483.0,-2,11,10,11,1689,16,3,3,18,18,7,0,1,0,14,1,0.0,0.0,1124,1124,1124,2497,289,290,11,11,236,38,40,16,16,3454,301,310,8,8,168,33,21,19,12,1132.1
1700,6,3,-4.5,-250,20,-1,-1,-1,96,12,7,밸리스타,한,수,5,52.5,이동하,서범석,이성헌,469.0,-5,11,10,11,2058,31,3,4,9,12,12,1,3,8,25,6,16.7,33.3,1119,1132,1153,91,9,9,9,9,91,9,9,9,9,3825,348,353,9,9,182,13,18,7,9,1132.5
1700,6,3,-2,74,27,-1,-1,-1,59,66,8,초원강타,한,거,4,52,페로비치,최봉주,조동식,512.0,2,11,10,11,1667,8,3,0,37,0,8,3,0,37,0,1,0.0,0.0,1124,1124,1124,707,106,97,14,13,449,69,77,15,17,1727,146,141,8,8,207,22,13,10,6,1130.71
1700,6,3,-5,142,42,-1,-1,-1,41,117,4,광양돌풍,한,수,3,52,조인권,곽영효,구본순,530.0,6,11,10,11,1357,9,2,5,22,55,8,2,4,25,50,2,0.0,100.0,1116,1121,1127,2565,355,276,13,10,253,21,32,8,12,3882,438,394,11,10,132,16,12,12,9,1128.03
