course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1700,3,3,1,0,43,0,137,0,0,25,162,637,621,750,821,876,1112,837,1129,1139,1150,1,블러싱바우,미,수,4,55.5,이현종,최용구,강용식,466,0,12,8,12,1681,14,1,3,7,21,6,1,2,16,33,0,0,0,1133,1143,1154,483,69,44,14,9,336,49,32,14,9,696,106,76,15,10,185,20,15,10,8,1138.21
1700,3,3,1,0,50,0,19,0,203,0,222,625,625,759,826,893,1108,842,1108,1108,1108,10,노벰버모닝,미,거,4,56,문세영,신삼영,유희태,466,0,12,8,12,1715,22,2,3,9,13,9,1,0,11,0,2,50,50,1109,1121,1134,6564,1331,995,20,15,480,111,71,23,14,1191,121,110,10,9,207,19,27,9,13,1134.82
1700,3,3,0,0,29,0,0,0,161,38,199,637,626,759,820,886,1117,844,1117,1117,1117,11,대일신화,미,수,3,52.5,박상우,이희영,김윤구,466,0,12,8,12,1399,8,1,0,12,0,6,1,0,16,0,2,50,50,1117,1119,1122,1649,69,101,4,6,40,1,2,2,5,7425,599,657,8,8,201,17,18,8,8,1141.97
1700,3,3,0,0,42,0,0,0,0,181,181,623,623,758,822,883,1115,840,1111,1115,1119,12,★톡톡여장군,한,암,3,51,조재로,배휴준,서순배,466,0,12,8,12,1404,12,3,2,25,16,7,0,1,0,14,2,0,50,1111,1115,1119,445,43,44,9,9,316,33,38,10,12,3232,239,277,7,8,303,23,30,7,9,1139.48
1700,3,3,1,0,99,0,0,0,27,93,120,627,627,762,829,890,1116,846,1116,1116,1116,2,황금비상,미,수,3,56,이상혁,서정하,송철흠,466,0,12,8,12,1415,9,2,0,22,0,5,2,0,40,0,1,0,0,1118,1118,1118,3046,271,269,8,8,317,31,23,9,7,2200,144,179,6,8,160,9,8,5,5,1150.67
1700,3,3,0,0,29,0,139,0,0,14,153,621,621,750,823,880,1112,838,1129,1139,1150,3,대한영웅,미,수,3,56.5,함완식,박종곤,유희태,466,0,12,8,12,1372,13,1,2,7,15,10,1,2,10,20,1,0,0,1133,1133,1133,5041,633,629,12,12,269,37,41,13,15,3468,303,311,8,8,175,35,20,20,11,1132.83
1700,3,3,1,0,29,0,0,0,101,0,101,624,621,754,824,896,1118,841,1112,1118,1125,4,달려라강적,미,암,4,52.5,이동하,신삼영,한영석,466,0,12,8,12,1722,22,2,0,9,0,11,2,0,18,0,5,20,20,1112,1119,1130,114,10,10,8,8,114,10,10,8,8,1191,121,110,10,9,207,19,27,9,13,1137.55
1700,3,3,2,0,29,0,0,0,150,16,166,621,616,754,821,887,1112,837,1129,1139,1150,5,황금들판,일,암,3,54,페로비치,김점오,백경무,466,0,12,8,12,1314,12,2,1,16,8,10,2,1,20,10,1,0,100,1112,1112,1112,754,115,101,15,13,460,73,77,15,16,7697,720,728,9,9,246,30,28,12,11,1129.97
1700,3,3,1,0,29,0,0,0,32,86,118,628,628,763,830,889,1124,846,1115,1124,1131,6,바람이분다,호,수,4,56.5,벨리,임봉춘,이장호 ,466,0,12,8,12,1561,16,0,3,0,18,9,0,1,0,11,7,0,14,1114,1121,1132,109,4,5,3,4,109,4,5,3,4,3670,276,302,7,8,317,21,39,6,12,1133.91
1700,3,3,5,0,29,0,0,0,67,50,117,621,625,755,829,891,1119,842,1129,1139,1150,7,그레이트조이,미,거,3,51,정정희,송문길,김종욱,466,0,12,8,12,1362,8,0,2,0,25,5,0,1,0,20,0,0,0,1133,1143,1154,681,33,41,4,6,265,16,18,6,6,694,88,81,12,11,262,38,40,14,15,1145.76
1700,3,3,0,0,36,0,0,0,153,15,168,625,625,759,821,889,1116,843,1114,1116,1117,8,플라이윙,한,거,5,52.5,유승완,최봉주,오호극,466,0,12,8,12,2095,22,3,2,13,9,9,2,1,22,11,3,66,66,1117,1129,1148,2896,221,224,7,7,430,32,41,7,9,1740,147,144,8,8,203,22,14,10,6,1137.89
1700,3,3,0,0,42,121,0,0,34,14,169,636,615,764,830,893,1122,845,1129,1139,1150,9,절대병기,미,거,3,52,임기원,황영원,세계건설(주),466,0,12,8,12,1397,11,1,1,9,9,8,1,1,12,12,0,0,0,1133,1143,1154,918,109,84,11,9,443,51,49,11,11,1124,69,77,6,6,212,9,12,4,5,1134.73
