course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,3,5,1,0,29,1,0,0,4,52.5,461,0,11,3,12,1687,24,2,1,8,4,13,1,1,7,7,1099.0,62.0,60.0,5.0,5.0,132.0,7.0,8.0,5.0,6.0,1010,88,106,8,10,291,26,23,8,7
1000,3,5,0,0,120,10,0,2,3,52,461,0,11,3,12,1411,9,1,0,11,0,5,0,0,0,0,2754.0,207.0,218.0,7.0,7.0,431.0,38.0,42.0,8.0,9.0,649,49,42,7,6,171,16,6,9,3
1000,3,5,0,0,35,11,0,0,3,55.5,461,0,11,3,12,1388,13,1,3,7,23,11,1,3,9,27,1540.0,122.0,114.0,7.0,7.0,210.0,16.0,20.0,7.0,9.0,3907,271,331,6,8,248,19,24,7,9
1000,3,5,0,0,15,2,0,0,3,52,461,0,11,3,12,1345,6,1,0,16,0,6,1,0,16,0,2345.99146556,252.184128852,238.15708531,8.33465420259,8.05160473486,288.151850595,29.3911531189,28.0724929094,8.13113480759,7.95548224814,3260,304,342,9,10,315,38,28,12,8
1000,3,5,1,0,29,3,0,0,3,53.5,461,0,11,3,12,1359,8,1,0,12,0,7,1,0,14,0,109.0,4.0,5.0,3.0,4.0,109.0,4.0,5.0,3.0,4.0,2877,232,247,8,8,251,18,31,7,12
1000,3,5,2,0,29,9,0,0,4,51.5,461,0,11,3,12,1733,23,1,2,4,8,11,0,0,0,0,1011.0,50.0,44.0,4.0,4.0,102.0,6.0,3.0,5.0,2.0,2877,232,247,8,8,251,18,31,7,12
1000,3,5,0,0,15,5,0,1,3,53,461,0,11,3,12,1337,15,0,3,0,20,11,0,3,0,27,4258.0,354.0,348.0,8.0,8.0,69.0,3.0,5.0,4.0,7.0,10557,809,932,7,8,337,23,25,6,7
1000,3,5,0,0,28,6,0,2,3,55,461,0,11,3,12,1338,8,1,1,12,12,8,1,1,12,12,3095.0,210.0,240.0,6.0,7.0,114.0,4.0,2.0,3.0,1.0,10032,906,968,9,9,328,35,28,10,8
1000,3,5,0,0,28,7,0,2,4,53.5,461,0,11,3,12,1747,14,1,0,7,0,10,1,0,10,0,6564.0,1331.0,995.0,20.0,15.0,480.0,111.0,71.0,23.0,14.0,111,3,10,2,9,111,3,10,2,9
1000,3,5,0,0,29,8,0,0,4,52,461,0,11,3,12,1682,7,1,0,14,0,7,1,0,14,0,1656.0,100.0,132.0,6.0,7.0,244.0,16.0,14.0,6.0,5.0,1319,102,107,7,8,177,13,7,7,3
1000,3,5,2,0,29,4,0,0,3,51.5,461,0,11,3,12,1391,14,1,2,7,14,9,0,1,0,11,681.0,33.0,41.0,4.0,6.0,265.0,16.0,18.0,6.0,6.0,694,88,81,12,11,262,38,40,14,15
