course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1300,20,4,1,0,28,120,0,0,59,0,179,636,633,768,837,896,1134,854,833,841,851,1,최고머니,미,수,2,53.5,조성곤,양재철,함춘,464,0,12,8,12,1012,5,1,0,20,0,5,1,0,20,0,0,0,0,832,841,850,4646,714,613,15.0,13.0,452,55,41,12.0,9.0,6725,538,582,8,8,140,12,10,8,7,834.86
1300,20,4,0,-48,42,0,60,0,0,72,132,622,622,754,813,898,1114,839,813,813,813,10,위즈스피드,한,수,3,57,페로비치,송문길,최몽주,490,-2,12,8,12,1382,13,3,2,23,15,7,2,2,28,28,2,0,50,817,826,835,771,116,103,15.0,13.0,452,69,72,15.0,15.0,699,90,81,12,11,259,40,39,15,15,820.46
1300,20,4,1,250,28,0,19,0,100,0,119,628,628,763,829,889,1124,846,829,829,829,11,나이스앤굿,미,수,4,52,하정훈,임봉춘,장세창,500,7,12,8,12,1725,20,0,1,0,5,7,0,1,0,14,3,0,33,822,828,832,348,19,24,5.0,6.0,279,16,23,5.0,8.0,3679,280,303,7,8,317,24,40,7,12,831.24
1300,20,4,2,285,14,0,0,0,56,27,83,659,648,783,861,904,1160,873,861,861,861,12,성은강자,호,수,3,52,이혁,배대선,서홍배,468,4,12,8,12,1183,5,0,0,0,0,5,0,0,0,0,1,0,0,861,861,861,1972,139,143,7.0,7.0,525,37,41,7.0,7.0,6205,745,698,12,11,354,31,34,8,9,843.49
1300,20,4,0,85,35,0,103,0,32,0,135,640,642,770,843,903,1142,860,833,841,851,2,마이챔프,미,수,2,51,부민호,박희철,류순곤,482,3,12,8,12,987,4,0,0,0,0,4,0,0,0,0,0,0,0,832,841,850,1320,98,84,7.0,6.0,102,2,7,1.0,6.0,3937,339,362,8,9,271,17,22,6,8,837.07
1300,20,4,0,-112,27,0,0,0,0,122,122,632,640,760,834,893,1130,851,833,841,851,9,청담대로,미,거,2,52.5,이현종,박대흥,김병진,487,-3,12,8,12,970,4,0,0,0,0,4,0,0,0,0,1,0,0,818,818,818,490,69,45,14.0,9.0,330,47,32,14.0,9.0,5399,729,584,13,10,284,46,21,16,7,833.47
1300,20,4,1,35,28,0,0,0,0,125,125,631,625,754,826,885,1120,843,833,841,851,4,선더라이트,미,수,2,54,윤태혁,우창구,변갑한,508,1,12,8,12,1011,3,0,1,0,33,3,0,1,0,33,1,0,100,823,823,823,1611,109,143,6.0,8.0,67,6,4,8.0,5.0,2097,218,178,10,8,272,30,30,11,11,818.59
1300,20,4,2,35,28,0,0,0,106,0,106,626,619,758,827,886,1154,844,833,841,851,5,무한도마,한,수,4,54,얀,안병기,박남성,477,1,12,8,12,1765,27,2,6,7,22,10,0,2,0,20,0,0,0,832,841,850,0,0,0,8.18949077309,8.04252692292,0,0,0,7.83350950523,7.92519112089,2287,217,212,9,9,207,17,21,8,10,829.57
1300,20,4,0,157,70,0,0,0,13,89,102,636,633,769,837,891,1133,853,830,837,846,6,펄샤인,미,수,4,53.5,최원준,김윤섭,이재진,488,11,12,8,12,1729,16,1,0,6,0,5,0,0,0,0,3,0,0,825,835,846,1819,75,112,4.0,6.0,77,2,1,2.0,1.0,4283,278,365,6,8,164,8,17,4,10,841.66
1300,20,4,1,285,35,0,0,0,66,50,116,629,614,758,821,882,1116,840,820,821,822,7,헬캣,한,암,4,51,정정희,홍대유,현대영,442,10,12,8,12,1745,12,3,0,25,0,10,3,0,30,0,2,50,50,821,821,822,688,33,41,4.0,5.0,272,16,18,5.0,6.0,2466,224,188,9,7,231,25,11,10,4,820.63
1300,20,4,0,-149,27,0,81,0,82,0,163,649,654,797,864,926,1171,881,833,841,851,8,속보강자,미,거,2,51,방춘식,박희철,신영식,479,-4,12,8,12,980,3,0,0,0,0,3,0,0,0,0,1,0,0,848,848,848,4261,354,348,8.0,8.0,67,2,5,2.0,7.0,3937,339,362,8,9,271,17,22,6,8,852.33
1300,20,4,0,-206,34,0,0,0,27,57,84,652,636,772,828,899,1137,856,815,828,841,3,그레이삭스,한,암,2,52,문세영,이신영,김창식,473,-7,12,8,12,1053,5,2,0,40,0,5,2,0,40,0,3,33,33,817,828,840,6578,1332,995,20.0,15.0,494,112,71,22.0,14.0,1310,195,112,14,8,290,32,23,11,7,827.74
