course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1300,4,5,2.5,55,36,-1,-1,-1,115,-1,1,전설의마왕,한,수,3,54,이동국,곽영효,이선종,487.0,2,12,5,11,1337,12,1,0,8,0,10,1,0,10,0,7,14.3,14.3,833,847,872,3080,209,240,6,7,103,3,2,2,1,3882,438,394,11,10,132,16,12,12,9,841.19
1300,4,5,-0.5,-343,35,-1,140,-1,-1,-1,10,스페이스타,한,암,5,55.5,조인권,박병일,이용대,444.0,-12,12,5,11,2073,28,2,2,7,7,11,1,0,9,0,10,0.0,10.0,822,833,861,2565,355,276,13,10,253,21,32,8,12,669,44,57,6,8,156,9,22,5,14,835.66
1300,4,5,-0.5,-429,14,-1,-1,-1,49,35,11,스트롱샤인,한,거,5,52.5,지하주,심승태,고광숙,428.0,-6,12,5,11,2113,32,1,0,3,0,12,0,0,0,0,13,7.7,7.7,812,841,876,3174,255,268,8,8,58,2,3,3,5,989,85,103,8,10,285,24,23,8,8,836.85
1300,4,5,-3.0,0,29,-1,-1,-1,134,26,12,사계절,한,암,3,53.5,김혜선,최용구,지원철,481.0,0,12,5,11,1361,3,1,1,33,33,3,1,1,33,33,3,33.3,66.7,836,837,839,2732,205,216,7,7,444,39,40,8,9,686,105,76,15,11,185,22,16,11,8,830.24
1300,4,5,-3.0,-28,36,-1,-1,-1,138,10,2,미스터챔피언,한,수,2,52.5,임기원,김순근,이장한,470.0,-1,12,5,11,991,2,0,2,0,100,2,0,2,0,100,-1,-1,-1,-1,-1,-1,877,103,79,11,9,426,47,44,11,10,3893,269,331,6,8,258,19,26,7,10,834.5
1300,4,5,0,444,36,-1,119,-1,15,-1,9,제이에스킹,한,수,5,54,김옥성,임봉춘,임정균,496.0,16,12,5,11,2059,23,0,2,0,8,9,0,1,0,11,4,0.0,50.0,822,836,846,7474,518,601,6,8,281,7,18,2,6,3651,276,299,7,8,313,22,37,7,11,833.57
1300,4,5,-1.5,26,190,-1,-1,-1,137,8,4,황금늑대,한,수,3,54,유승완,이신영,(주)나스카,516.0,5,12,5,11,1325,4,1,0,25,0,4,1,0,25,0,1,0.0,0.0,859,859,859,2865,219,221,7,7,433,33,40,7,9,1281,194,110,15,8,292,33,24,11,8,843.36
1300,4,5,-1,71,28,-1,-1,-1,151,-1,5,하이베트,한,거,3,53,박을운,허재영,김세민,470.0,2,12,5,11,1364,16,0,3,0,18,12,0,3,0,25,6,0.0,33.3,822,829,844,2497,289,290,11,11,236,38,40,16,16,819,45,57,5,6,207,12,16,5,7,832.41
1300,4,5,0.0,-200,35,-1,-1,-1,132,-1,6,토호킹,한,거,3,54.5,함완식,김동균,최임규,476.0,-7,12,5,11,1296,15,1,0,6,0,12,1,0,8,0,10,10.0,10.0,832,846,861,5023,629,628,12,12,270,35,42,12,15,1104,91,94,8,8,341,22,27,6,7,833.07
1300,4,5,2.5,-108,28,-1,-1,-1,149,-1,7,드림선,한,거,3,56.5,페로비치,송문길,박덕희,471.0,-3,12,5,11,1335,9,2,0,22,0,9,2,0,22,0,3,33.3,33.3,819,837,849,707,106,97,14,13,449,69,77,15,17,675,86,77,12,11,262,40,40,15,15,833.32
1300,4,5,0,379,29,-1,-1,-1,-1,151,8,자진모리,한,수,2,54,문세영,지용철,박남성,527.0,11,12,5,11,985,3,1,0,33,0,3,1,0,33,0,-1,-1,-1,-1,-1,-1,6538,1325,991,20,15,495,110,74,22,14,10535,807,930,7,8,336,21,25,6,7,829.76
1300,4,5,-4,357,28,-1,-1,-1,118,26,3,미라클투유,한,거,3,52,이철경,박희철,김창희,475.0,10,12,5,11,1310,5,1,0,20,0,5,1,0,20,0,2,0.0,0.0,824,830,837,77,1,5,1,6,77,1,5,1,6,3912,339,360,8,9,276,18,21,6,7,834.08
