course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1000,3,6,1,275,29,0,0,0,66,96,162,656,640,780,870,919,1163,875,640,640,640,1,엔드리스러브,한,암,2,53.5,벨리,지용철,천사들의 안장,484,8,10,2,12,1000,5,0,0,0.0,0.0,5,0,0,0.0,0.0,0,1,4,636,642,648,109,4,5,3,4,109,4,5,3,4,10557,809,932,7,8,337,23,25,6,7,636.64
1000,3,6,4,68,29,0,0,0,143,0,143,628,626,781,844,899,1137,856,626,626,626,10,단비,한,암,3,55,박병윤,정지은,정은섭,467,2,10,2,12,1337,6,0,0,0.0,0.0,6,0,0,0.0,0.0,0,1,4,636,642,648,1656,100,132,6,7,244,16,14,6,5,8250,734,839,8,10,194,14,14,7,7,638.33
1000,3,6,1,46,43,0,0,0,0,103,103,651,635,775,842,903,1142,860,633,635,636,2,파이어볼,한,거,2,55.5,박현우,임봉춘,피닉스,450,2,10,2,12,1035,6,0,0,0.0,0.0,6,0,0,0.0,0.0,0,1,4,636,642,648,1260,89,73,7,5,189,13,12,6,6,3670,276,302,7,8,317,21,39,6,12,639.68
1000,3,6,1,-36,28,0,0,0,170,0,170,652,646,789,858,919,1162,875,646,646,646,3,삼팔으뜸,한,암,2,53.5,이기회,박흥진,변완석,468,-1,10,2,12,996,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,1,4,636,642,648,3060,115,143,3,4,105,4,8,3,7,8059,694,705,8,8,152,3,8,1,5,642.85
1000,3,6,0,-40,50,0,0,0,126,0,126,631,640,800,849,910,1151,866,635,640,645,9,리틀윙,한,암,3,55,페로비치,박재우,송용만,430,-2,10,2,12,1398,4,0,0,0.0,0.0,4,0,0,0.0,0.0,0,1,4,636,642,648,754,115,101,15,13,460,73,77,15,16,1300,171,134,13,10,259,41,34,15,13,637.25
1000,3,6,0,325,43,0,76,0,0,0,76,641,639,782,847,908,1148,864,620,639,661,5,운악하비오,한,거,3,57,함완식,박희철,안응수,465,14,10,2,12,1319,9,0,1,0.0,11.0,8,0,1,0.0,12.0,0,1,4,636,642,648,5041,633,629,12,12,269,37,41,13,15,3927,339,360,8,9,275,17,20,6,7,632.65
1000,3,6,0,0,100,20,0,0,0,169,189,638,638,775,843,903,1142,860,631,637,643,6,이집션,한,수,3,56,정정희,김동철,요시다 가츠미,498,4,10,2,12,1345,0,0,0,6.44577953277,8.55935647459,0,0,0,5.98217716013,8.38167672762,0,0,0,636,642,648,681,33,41,4,6,265,16,18,6,6,111,3,10,2,9,111,3,10,2,9,641.85
1000,3,6,1,333,36,0,49,0,12,58,119,640,645,781,850,911,1152,867,639,645,650,7,고센,한,거,3,57,김동수,박천서,소태영,470,12,10,2,12,1328,3,0,0,0.0,0.0,3,0,0,0.0,0.0,0,1,4,636,642,648,905,74,84,8,9,367,31,30,8,8,3374,346,328,10,9,209,21,19,10,9,637.36
1000,3,6,1,140,71,0,0,0,42,49,91,649,638,786,858,916,1159,872,638,638,638,8,빈티지로즈,한,암,3,55,임기원,서정하,이석웅 ,453,10,10,2,12,1329,6,0,0,0.0,0.0,6,0,0,0.0,0.0,0,1,4,636,642,648,918,109,84,11,9,443,51,49,11,11,2200,144,179,6,8,160,9,8,5,5,647.92
1000,3,6,1,95,21,0,11,0,125,0,136,659,647,782,857,918,1161,874,641,647,654,4,피에스하나,한,암,3,55,윤태혁,김양선,이재상,448,2,10,2,12,1367,8,0,0,0.0,0.0,8,0,0,0.0,0.0,0,1,4,636,642,648,1610,109,143,6,8,66,6,4,9,6,8815,896,897,10,10,230,21,26,9,11,640.54
