course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,4,4,3.5,228,35,-1,-1,-1,-1,163,1,4,1,3,56.5,501.0,8,12,6,11,1313,9,0,1,0,11,9,0,1,0,11,-1,-1,-1,-1,-1,-1,2565,355,276,13,10,253,21,32,8,12,5267,389,430,7,8,178,10,11,5,6
1300,4,4,5.5,57,35,-1,-1,-1,19,129,10,0,1,3,56.5,481.0,2,12,6,11,1304,7,3,1,42,14,7,3,1,42,14,4,50.0,75.0,823,826,834,877,103,79,11,9,426,47,44,11,10,7681,720,728,9,9,247,32,30,12,12
1300,4,4,1,-138,29,-1,-1,-1,176,22,11,4,1,2,55,487.0,-4,12,6,11,1020,2,0,1,0,50,2,0,1,0,50,-1,-1,-1,-1,-1,-1,420,42,39,10,9,313,34,35,10,11,1179,120,110,10,9,211,19,30,9,14
1300,4,4,-0.5,172,29,-1,-1,-1,136,15,12,4,1,2,52.5,457.0,5,12,6,11,1030,2,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,4606,709,609,15,13,430,53,40,12,9,2133,192,210,9,9,447,40,45,8,10
1300,4,4,0,-1,-1,-1,-1,-1,65,48,2,4,0,2,52,472.0,3,12,6,11,1008,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2865,219,221,7,7,433,33,40,7,9,1281,194,110,15,8,292,33,24,11,8
1300,4,4,1,138,36,-1,-1,-1,-1,116,9,4,2,2,53,490.0,5,12,6,11,943,3,0,0,0,0,3,0,0,0,0,-1,-1,-1,-1,-1,-1,462,68,43,14,9,340,53,33,15,9,5374,722,583,13,10,284,40,21,14,7
1300,4,4,-2,34,29,-1,104,-1,70,-1,4,4,2,2,51,483.0,1,12,6,11,953,2,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,661,31,37,4,5,245,14,14,5,5,3912,339,360,8,9,276,18,21,6,7
1300,4,4,1.0,-286,28,-1,-1,-1,210,-1,5,4,2,5,55.5,468.0,-8,12,6,11,2046,25,0,1,0,4,9,0,0,0,0,4,0.0,0.0,827,833,844,1528,120,112,7,7,198,14,18,7,9,1727,146,141,8,8,207,22,13,10,6
1300,4,4,-1.5,34,29,-1,-1,-1,-1,138,6,0,0,3,53.5,454.0,1,12,6,11,1368,16,3,0,18,0,12,3,0,25,0,5,40.0,40.0,813,830,851,4255,354,348,8,8,72,3,5,4,6,3882,438,394,11,10,132,16,12,12,9
1300,4,4,1.5,-29,35,-1,-1,-1,-1,122,7,0,1,4,54,464.0,-1,12,6,11,1672,17,2,1,11,5,8,1,1,12,12,4,25.0,25.0,823,827,831,2177,82,126,3,5,39,5,3,12,7,1276,168,133,13,10,252,40,33,15,13
1300,4,4,0,285,28,-1,43,-1,-1,65,8,0,2,2,52,469.0,8,12,6,11,1008,4,2,0,50,0,4,2,0,50,0,1,100.0,100.0,820,820,820,6538,1325,991,20,15,495,110,74,22,14,566,71,42,12,7,211,31,18,14,8
1300,4,4,1.5,228,35,-1,-1,-1,103,12,3,7,1,3,55.5,499.0,8,12,6,11,1182,6,0,1,0,16,6,0,1,0,16,1,0.0,0.0,829,829,829,707,106,97,14,13,449,69,77,15,17,1309,102,107,7,8,178,14,8,7,4
