course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1200,20,4,1,28,69,0,0,0,127,13,140,633,635,770,839,898,1136,856,770,770,770,1,덕성일호,한,암,3,51,이혁,홍대유,김재덕,455,0,12,9,12,1354,9,2,1,22,11,8,2,1,25,12,1,100,100,770,770,770,1972,139,143,7,7,525,37,41,7,7,2466,224,188,9,7,231,25,11,10,4,761.07
1200,20,4,0,0,28,0,0,0,176,0,176,624,624,757,826,883,1117,841,745,757,774,10,좋아라,한,암,3,54.5,이준철,김대근,고광숙,439,1,12,9,12,1331,15,2,3,13,20,11,2,2,18,18,4,11,21,758,768,781,2548,188,225,7,8,146,17,22,11,15,7330,694,752,9,10,266,41,31,15,11,749.75
1200,20,4,1,0,34,2,7,1,27,125,162,646,637,772,841,900,1139,823,758,768,781,11,행운누리,한,암,4,52,이기회,곽영효,양수화,453,0,12,9,12,1708,21,3,1,14,4,11,3,0,27,0,7,14,28,756,762,775,3064,115,143,3,4,106,4,8,3,7,3894,439,396,11,10,131,14,12,10,9,756.38
1200,20,4,0,-20,154,0,0,0,101,28,129,638,638,775,843,903,1142,860,762,772,785,12,꿈캐라,한,암,4,53,이동국,지용훈,김영진,473,-3,12,9,12,1699,6,3,1,50,16,4,2,1,50,25,0,0,0,758,768,781,3098,210,240,6,7,115,4,2,3,1,8907,770,823,8,9,278,16,26,5,9,763.78
1200,20,4,0,-215,28,0,0,0,18,62,80,621,610,756,821,879,1112,837,745,756,772,2,오픈뱅크,한,거,4,55.5,정정희,송문길,김종욱,463,-6,12,9,12,1692,22,2,6,9,27,10,0,1,0,10,11,0,18,745,758,784,688,33,41,4,5,272,16,18,5,6,699,90,81,12,11,259,40,39,15,15,752.38
1200,20,4,3,0,252,0,0,0,15,133,148,624,624,758,824,883,1117,841,746,758,770,9,금캐라,한,암,3,51.5,김혜선,지용훈,김영진,463,-7,12,9,12,1305,7,2,3,28,42,7,2,3,28,42,5,20,60,741,756,771,2765,209,220,7,7,418,38,43,9,10,8907,770,823,8,9,278,16,26,5,9,748.54
1200,20,4,0,-36,28,0,0,0,0,115,115,646,637,772,841,900,1139,823,758,768,781,4,천지탑,한,암,3,51,임기원,김점오,문창완,497,-1,12,9,12,1327,9,2,1,22,11,9,2,1,22,11,0,0,0,758,768,781,930,110,86,11,9,444,52,50,11,11,7700,721,728,9,9,238,31,27,13,11,754.13
1200,20,4,0,-313,48,0,0,0,0,81,81,646,637,772,841,900,1139,823,758,768,781,5,과천의함성,한,거,2,52,유승완,이관호,황의영,458,0,12,9,12,1054,6,2,1,33,16,6,2,1,33,16,0,0,0,758,768,781,2908,221,224,7,7,417,31,39,7,9,584,75,44,12,7,209,34,18,16,8,758.8
1200,20,4,2,-91,209,0,0,0,0,102,102,621,621,751,826,879,1111,837,749,751,754,6,로드힐,한,암,4,53,이현종,박대흥,(주)자성실업,463,-19,12,9,12,1707,13,2,5,15,38,8,1,3,12,37,6,33,50,748,755,767,490,69,45,14,9,330,47,32,14,9,5399,729,584,13,10,284,46,21,16,7,748.49
1200,20,4,5,0,28,2,7,1,27,125,162,648,625,756,819,900,1122,845,749,756,758,7,투케이,한,수,3,57,김철호,하재흥,강균호,463,-8,12,9,12,1312,9,2,2,22,22,9,2,2,22,22,5,40,80,737,753,760,1547,123,115,7,7,217,17,21,7,9,10038,906,969,9,9,324,35,29,10,8,748.07
1200,20,4,0,-143,43,0,0,0,58,62,120,638,638,775,843,903,1142,860,762,772,785,8,프라임골드,한,수,3,56,함완식,박희철,김진철,464,-5,12,9,12,1361,11,3,1,27,9,9,3,1,33,11,7,28,28,752,761,780,5049,634,630,12,12,256,35,38,13,14,3937,339,362,8,9,271,17,22,6,8,758.66
1200,20,4,0,0,28,0,0,0,26,115,141,621,623,751,820,879,1111,837,746,751,755,3,아르고플라잉,한,수,3,55,페로비치,안병기,우태율,482,0,12,9,12,1329,10,3,2,30,20,9,3,2,33,22,3,0,33,751,753,755,771,116,103,15,13,452,69,72,15,15,2287,217,212,9,9,207,17,21,8,10,744.64
