course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1200,7,5,-1.0,42,238,0,0,0,53,71,124,641.085437557,634.37680427,768.467400861,843.591363228,891.400759666,1136.55118058,819.245491026,760.424562844,768.467400861,773.414732774,1,드라마틱데이,한,거,4,54.5,이혁,이희영,김종욱,510.0,10,11,8,12,1758,4,1,0,25,0,4,1,0,25,0,3,33.3,33.3,761.0,765.0,774.0,1947,137,142,7,7,526,37,40,7,7,7421,599,657,8,8,199,18,18,9,9,766.46
1200,7,5,0.5,95,42,0,0,0,162,14,176,651.289930269,631.281023494,764.363485847,837.00268844,911.458385908,1136.55118058,821.991115755,738.489689287,764.363485847,794.831640135,10,여의킹,한,거,4,52.5,이철경,서인석,천병득,489.0,4,11,8,12,1765,25,1,3,4,12,10,0,1,0,10,12,0.0,16.7,736.0,771.0,853.0,92,2,7,2,7,92,2,7,2,7,2150,193,214,8,9,442,38,48,8,10,759.79
1200,7,5,0,25,77,0,0,0,141,0,141,670.009096,622.977342948,766.244834805,839.036173944,902.473280107,1136.55118058,822.88198473,748.758889612,766.244834805,791.452380077,11,와일드레이크,한,암,4,52,조인권,안해양,윤훈열,465.0,2,11,8,12,1682,16,1,1,6,6,10,0,1,0,10,8,0.0,12.5,741.0,761.0,780.0,2589,358,281,13,10,277,24,37,8,13,3448,337,289,9,8,157,7,10,4,6,765.53
1200,7,5,-1,-148,34,0,12,0,12,113,137,637.139479912,622.972722771,760.10833511,839.632041428,891.400759666,1136.55118058,814.634086577,750.021643486,760.10833511,773.568319386,2,큐피드플라워,한,수,2,54,함완식,송문길,서순배,510.0,-5,11,8,12,1009,3,1,0,33,0,3,1,0,33,0,0,0.0,0.0,754.282269161,764.368960785,777.828945061,5030,630,628,12,12,262,34,41,12,15,688,87,80,12,11,261,38,41,14,15,755.97
1200,7,5,0.0,296,27,0,0,0,111,15,126,660.588209089,634.37680427,777.1760147,831.818404934,891.400759666,1136.55118058,821.985228872,755.242338371,777.1760147,791.182932048,3,슈퍼펀치,한,암,3,55.5,페로비치,유재길,플래너스,456.0,8,11,8,12,1366,12,1,3,8,25,10,1,3,10,30,5,0.0,20.0,747.0,774.0,799.0,740,114,99,15,13,455,73,75,16,16,4593,372,397,8,8,258,15,13,5,5,762.25
1200,7,5,-1.5,222,27,0,0,0,0,112,112,664.906817286,633.613202707,785.142037474,842.774879184,891.400759666,1136.55118058,825.731479482,765.463484262,785.142037474,804.452558087,9,클라우스,한,거,3,51,하정훈,박천서,김세민,478.0,6,11,8,12,1324,13,1,0,7,0,11,1,0,9,0,8,0.0,0.0,769.0,783.0,804.0,342,19,24,5,7,291,17,23,5,7,3372,346,328,10,9,212,22,19,10,8,772.44
1200,7,5,-0.5,222,27,0,0,0,94,33,127,659.448320834,624.013045228,765.952041162,832.520142948,891.400759666,1136.55118058,818.314248402,745.308058277,765.952041162,776.625655698,5,속도신화,한,암,3,52,임기원,안해양,김지훈,458.0,6,11,8,12,1387,14,1,2,7,14,12,1,2,8,16,8,12.5,37.5,759.0,763.0,767.0,903,106,81,11,8,435,48,46,11,10,3448,337,289,9,8,157,7,10,4,6,760.72
1200,7,5,1,-215,14,0,0,0,128,0,128,664.7665399,627.302291734,787.789285066,847.710187357,920.842579307,1168.27099322,836.113646097,766.335755469,787.789285066,808.061872301,6,플라잉스톰,한,수,4,52,김정준,심승태,김형순,473.0,-3,11,8,12,1728,23,1,0,4,0,12,0,0,0,0,4,0.0,0.0,753.0,779.0,794.0,1203,70,77,5,6,113,5,4,4,3,1006,87,105,8,10,289,25,23,8,7,775.52
1200,7,5,0,-239,21,0,0,0,96,0,96,665.046762282,636.081489486,773.534704174,841.477382516,891.400759666,1136.55118058,824.015379783,761.532991403,773.534704174,791.884660665,7,상하이팡팡,한,암,3,52,박병윤,양재철,오호극,440.0,-5,11,8,12,1328,11,0,2,0,18,11,0,2,0,18,6,0.0,16.7,763.0,772.0,780.0,1649,100,132,6,8,240,16,14,6,5,6720,536,581,7,8,143,11,9,7,6,769.02
1200,7,5,-2.5,-149,27,0,0,0,75,28,103,662.66209009,635.226495239,777.768126293,843.072474301,891.400759666,1136.55118058,824.446854361,772.368819771,777.768126293,780.853318708,8,베스트탄생,한,암,3,51.5,벨리,양희진,최현기,452.0,-4,11,8,12,1359,15,1,0,6,0,11,1,0,9,0,6,0.0,0.0,764.0,775.0,783.0,99,4,3,4,3,99,4,3,4,3,646,49,42,7,6,171,16,6,9,3,772.33
1200,7,5,-2,481,27,0,0,0,0,182,182,636.203950327,632.831868831,757.916375758,836.279036593,891.400759666,1136.55118058,815.197195292,757.916375758,757.916375758,757.916375758,4,고운매,한,암,3,51,지하주,김대근,권익현,492.0,13,11,8,12,1366,11,0,2,0,18,10,0,1,0,10,1,0.0,0.0,760.0,760.0,760.0,3184,255,269,8,8,64,2,3,3,4,7319,693,750,9,10,270,42,30,15,11,756.71
