course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1700,18,3,0,142,42,0,0,0,60,32,92,627,627,762,828,888,1128,846,1128,1128,1128,1,추카추카,미,거,3,52,페로비치,박재우,이경호,493,6,12,12,12,1375,11,1,2,9,18,7,1,2,14,28,1,0,0,1130,1130,1130,771,116,103,15,13,452,69,72,15,15,1308,171,135,13,10,256,38,35,14,13,1130.34
1700,18,3,0,114,35,0,0,0,52,67,119,625,625,761,826,880,1119,842,1131,1139,1148,10,포머미션,미,수,3,53,함완식,송문길,김형실,479,4,12,12,12,1359,10,1,1,10,10,9,1,1,11,11,1,0,0,1136,1136,1136,5049,634,630,12,12,256,35,38,13,14,699,90,81,12,11,259,40,39,15,15,1128.65
1700,18,3,0,71,28,0,0,0,183,0,183,631,631,748,816,898,1139,851,1126,1139,1155,11,브룩스,미,수,4,51.5,지하주,김대근,고광숙,466,2,12,12,12,1734,23,1,2,4,8,11,1,1,9,9,4,0,0,1127,1139,1155,3189,255,269,7,8,61,1,3,1,4,7330,694,752,9,10,266,41,31,15,11,1135.25
1700,18,3,0,285,21,0,0,0,108,0,108,627,627,762,829,890,1118,845,1116,1118,1120,12,황금가속,미,거,5,53,정정희,서정하,송진석,469,6,12,12,12,2070,33,0,3,0,9,10,0,0,0,0,5,0,0,1107,1128,1148,688,33,41,4,5,272,16,18,5,6,2204,144,179,6,8,160,8,8,5,5,1139.11
1700,18,3,1,123,105,0,0,0,185,0,185,623,623,749,810,887,1115,840,1131,1139,1148,2,정상천마,미,거,3,54.5,부민호,박희철,정동진,507,13,12,12,12,1415,12,1,1,8,8,7,0,1,0,14,0,0,0,1128,1137,1146,1320,98,84,7,6,102,2,7,1,6,3937,339,362,8,9,271,17,22,6,8,1139.0
1700,18,3,0,-115,35,0,0,0,32,72,104,628,628,746,826,896,1128,846,1116,1128,1145,9,교두보,미,거,3,51.5,이현종,박대흥,우순근,496,-4,12,12,12,1335,10,1,1,10,10,8,1,1,12,12,4,25,50,1115,1131,1145,490,69,45,14,9,330,47,32,14,9,5399,729,584,13,10,284,46,21,16,7,1131.41
1700,18,3,3,146,41,0,0,0,152,22,174,629,633,773,837,899,1134,854,1131,1139,1148,4,신기파랑,미,수,4,51,하정훈,신삼영,이태인,508,6,12,12,12,1686,12,1,2,8,16,3,1,0,33,0,0,0,0,1128,1137,1146,348,19,24,5,6,279,16,23,5,8,1195,121,110,10,9,210,19,27,9,12,1142.52
1700,18,3,0,-197,56,0,0,0,102,0,102,634,629,754,824,879,1116,840,1131,1139,1148,5,붕마드림,미,거,3,52,임기원,박병일,한명로,476,-11,12,12,12,1409,11,0,3,0,27,10,0,3,0,30,0,0,0,1128,1137,1146,930,110,86,11,9,444,52,50,11,11,681,44,58,6,8,154,8,21,5,13,1131.94
1700,18,3,1,323,34,0,0,0,98,16,114,621,621,748,821,875,1118,837,1115,1118,1121,6,내사랑담양,미,암,4,54.5,조재로,배휴준,(주)비엠씨,438,11,12,12,12,1692,19,2,2,10,10,9,0,1,0,11,3,0,33,1116,1118,1121,452,44,44,9,9,311,30,37,9,11,3240,240,277,7,8,298,22,28,7,9,1125.81
1700,18,3,2,0,34,0,29,0,0,91,120,616,620,744,816,873,1104,831,1131,1139,1148,7,후리바람,한,수,3,54,문세영,이관호,(주)디알엠씨티,545,0,12,12,12,1324,8,3,3,37,37,7,3,2,42,28,0,0,0,1128,1137,1146,6578,1332,995,20,15,494,112,71,22,14,584,75,44,12,7,209,34,18,16,8,1123.15
1700,18,3,0,74,147,0,0,0,109,23,132,623,623,738,824,895,1129,840,1129,1129,1129,8,천년만년,호,수,4,56.5,김정준,박천서,유길상,483,11,12,12,12,1531,9,1,2,11,22,3,0,0,0,0,2,0,0,1127,1129,1131,1217,71,77,5,6,127,6,4,4,3,3381,346,329,10,9,205,18,20,8,9,1141.02
1700,18,3,0,285,28,0,0,0,28,96,124,624,626,760,827,886,1122,844,1121,1122,1122,3,홍남불패,미,거,4,52,유승완,김윤섭,차득환,500,8,12,12,12,1773,12,1,1,8,8,7,0,0,0,0,2,0,0,1122,1123,1124,2908,221,224,7,7,417,31,39,7,9,4283,278,365,6,8,164,8,17,4,10,1131.12
