course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1300,7,5,-1.5,-810,21,0,0,0,0,106,106,641.085437557,629.329270187,770.815628261,820.330086999,891.400759666,1136.55118058,814.918727208,820.330086999,820.330086999,820.330086999,1,전설의마녀,한,암,3,51.5,정정희,유재길,이선종,411.0,-17, 9,10,12,1362,9,1,1,11,11,6,1,1,16,16,1,100.0,100.0,812.0,812.0,812.0,675,31,40,4,5,259,14,17,5,6,4593,372,397,8,8,258,15,13,5,5,828.72
1300,7,5,-1,-108,28,0,0,0,40,104,144,668.271416181,649.740099383,787.942442866,858.83086307,891.400759666,1136.55118058,832.122793624,847.926354047,858.83086307,869.230409304,2,백두광장,한,거,3,55,김옥성,최영주,함운일,472.0,-3, 9,10,12,1308,9,1,0,11,0,8,1,0,12,0,6,16.7,16.7,839.0,856.0,869.0,7489,518,601,6,8,289,7,18,2,6,4086,304,320,7,7,170,10,15,5,8,849.9
1300,7,5,-1,-215,56,0,0,0,144,0,144,645.887860821,629.441062739,772.201365094,847.868348506,894.465711987,1158.70068164,824.760838464,825.222854462,847.868348506,861.710717509,3,캐논스파이더,한,암,6,52,조성곤,이신영,일진코스메틱,468.0,-12, 9,10,12,2450,35,1,1,2,2,7,0,0,0,0,3,0.0,0.0,836.0,847.0,855.0,4629,712,611,15,13,451,55,41,12,9,1294,195,110,15,8,290,33,22,11,7,842.21
1300,7,5,1.0,29,34,0,0,0,23,127,150,662.150737511,642.312858558,779.002747163,840.245948218,901.688497562,1120.43944792,824.306706156,828.145969213,840.245948218,862.942769667,4,커리클,한,거,4,56.5,조재로,배휴준,이상홍,454.0,1, 9,10,12,1713,20,0,2,0,10,11,0,1,0,9,5,0.0,0.0,827.0,837.0,857.0,438,43,43,9,9,316,33,37,10,11,3228,239,276,7,8,305,23,29,7,9,837.62
1300,7,5,-0.5,107,28,0,0,0,146,0,146,642.506308813,650.788416375,770.382105622,855.210563992,891.400759666,1136.55118058,824.473222508,855.210563992,855.210563992,855.210563992,9,주극성,한,암,3,52.5,장추열,배대선,강종우,466.0,3, 9,10,12,1375,6,1,0,16,0,6,1,0,16,0,1,0.0,0.0,854.0,854.0,854.0,2007,171,185,8,9,171,23,13,13,7,6187,744,697,12,11,355,33,33,9,9,849.79
1300,7,5,-0.5,0,41,0,0,0,122,0,122,644.26116934,633.880952307,776.375545926,848.694157479,914.298216596,1138.9305387,826.073430058,848.694157479,848.694157479,848.694157479,6,밸리스톰,한,수,4,54.5,이혁,서범석,이성헌,491.0,0, 9,10,12,1690,7,1,0,14,0,6,1,0,16,0,2,50.0,50.0,833.0,838.0,844.0,1947,137,142,7,7,526,37,40,7,7,3833,348,353,9,9,182,13,16,7,8,847.7
1300,7,5,-1.5,250,28,0,0,0,0,128,128,639.044985705,631.346292172,760.10833511,839.632041428,891.400759666,1136.55118058,816.347265776,830.859742223,839.632041428,850.030434904,7,럭키미스터,한,수,2,52.5,김정준,김윤섭,조창규,472.0,7, 9,10,12,967,4,1,0,25,0,4,1,0,25,0,0,0.0,0.0,832.287325221,841.059624426,851.458017902,1203,70,77,5,6,113,5,4,4,3,4274,278,365,6,8,168,8,18,4,10,837.06
1300,7,5,-0.5,39,76,0,0,0,102,11,113,645.920616588,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,817.998289606,830.859742223,839.632041428,850.030434904,8,드림애로우,한,암,4,51,벨리,손영표,김재성b,462.0,3, 9,10,12,1682,14,0,2,0,14,7,0,2,0,28,4,0.0,50.0,837.0,851.0,865.0,99,4,3,4,3,99,4,3,4,3,2191,199,187,9,8,214,14,12,6,5,844.51
1300,7,5,0.5,-186,27,0,0,0,52,77,129,629.166323736,630.393299466,766.033021704,837.185048592,891.400759666,1136.55118058,815.121605623,837.185048592,837.185048592,837.185048592,5,조이,한,수,3,54,임기원,김동균,박태준,437.0,-5, 9,10,12,1318,8,1,0,12,0,7,0,0,0,0,2,0.0,0.0,827.0,831.0,836.0,903,106,81,11,8,435,48,46,11,10,1114,92,94,8,8,338,21,27,6,7,833.23
