course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1000,5,4,4,0,42,0,0,0,135,0,135,666.317688773,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,828.162294495,1,강철백두,뉴,거,4,55,벨리,유재길,허건호,-1,0,10,6,12,1480,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,88,4,3,4,3,88,4,3,4,3,4584,372,396,8,8,255,15,12,5,4,631.77
1000,5,4,0,0,27,0,0,0,47,37,84,662.662662663,625.04670339,775.197336105,843.1374421,905.094905095,1142.496707,825.605959392,10,플라잉볼트,한,암,3,51,임기원,심승태,김형순,-1,0,10,6,12,1330,14,1,4,7,28,12,1,4,8,33,7,14.3,42.9,612,625,651,894,105,80,11,8,434,48,45,11,10,999,85,105,8,10,291,23,25,7,8,625.45
1000,5,4,0,0,27,0,0,0,41,60,101,653.040877368,638.4116297,761.238761239,843.1374421,903.3792085,1142.496707,823.617437651,2,짜릿,미,거,2,55,페로비치,최용구,민병욱,-1,0,10,6,12,962,2,0,1,0,50,2,0,1,0,50,-1,-1,-1,-1,-1,-1,723,108,98,14,13,451,70,76,15,16,692,105,76,15,10,187,21,16,11,8,623.93
1000,5,4,-1.5,0,35,66,0,0,16,15,97,637.637637638,639.720558882,775.2310909,843.1374421,903.3792085,1142.496707,823.600440837,3,나이스드리머,미,암,2,51,이혁,안병기,김제영,-1,0,10,6,12,936,2,0,0,0,0,2,0,0,0,0,2,0.0,0.0,631,636,641,1938,136,142,7,7,532,36,40,6,7,2262,214,207,9,9,182,14,16,7,8,642.97
1000,5,4,1.0,0,27,0,0,0,16,128,144,632.632632633,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,822.548118472,9,아치아치,미,거,2,53.5,김정준,안해양,김길중,-1,0,10,6,12,953,1,0,0,0,0,1,0,0,0,0,1,0.0,0.0,628,628,628,1197,70,77,5,6,107,5,4,4,3,3445,336,289,9,8,159,6,10,3,6,634.83
1000,5,4,3,0,28,0,0,0,159,39,198,645.875251509,638.4116297,779.338014042,843.1374421,886.567164179,1142.496707,822.637701422,5,투데이위너,미,수,2,54,문세영,하재흥,이유환,-1,0,10,6,12,963,3,0,0,0,0,3,0,0,0,0,-1,-1,-1,-1,-1,-1,6546,1327,993,20,15,487,110,72,22,14,10014,904,967,9,9,326,33,29,10,8,629.14
1000,5,4,0.0,0,1000,0,0,0,90,44,134,695.171026157,638.4116297,775.2310909,843.1374421,903.3792085,1142.496707,832.971184059,6,오케이굿,미,거,2,53.5,조재로,송문길,박복용,-1,0,10,6,12,944,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,431,43,40,9,9,315,33,35,10,11,683,87,79,12,11,263,39,41,14,15,641.65
1000,5,4,1,0,14,0,0,0,165,0,165,642.035960263,630.725136578,768.304914744,845.309381238,917.0,1142.496707,824.312016637,7,아르고황금꽃,미,수,3,52,이아나,안병기,우태율,-1,0,10,6,12,1324,12,0,1,0,8,11,0,1,0,9,9,0.0,11.1,620,661,895,1006,49,44,4,4,103,5,3,4,2,2262,214,207,9,9,182,14,16,7,8,617.52
1000,5,4,0,0,28,0,0,0,119,30,149,665.145684607,647.704590818,775.2310909,843.1374421,903.3792085,1142.496707,829.515787321,8,언제나정상,미,수,2,53,사토시,서인석,이일구,-1,0,10,6,12,1026,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,649,649,649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2140,192,211,8,9,442,39,46,8,10,645.94
1000,5,4,0,0,27,0,72,0,15,46,133,645.161290323,638.4116297,793.206793207,843.1374421,903.3792085,1142.496707,827.632178472,4,황홀한질주,미,암,2,52,이상혁,최상식,장재형,-1,0,10,6,12,961,2,0,0,0,0,2,0,0,0,0,1,0.0,0.0,620,620,620,3037,270,269,8,8,329,32,24,9,7,5272,390,430,7,8,177,11,11,6,6,627.93
