course,humidity,kind,dbudam,drweight,lastday,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,3,5,0,0,28,1,0,0,3,55,464,0,12,5,12,1373,12,1,1,8,8,10,1,1,10,10,905.0,74.0,84.0,8.0,9.0,367.0,31.0,30.0,8.0,8.0,1091,108,123,9,11,186,22,23,11,12
1300,3,5,0,0,28,10,0,2,3,55,464,0,12,5,12,1328,4,1,0,25,0,4,1,0,25,0,2896.0,221.0,224.0,7.0,7.0,430.0,32.0,41.0,7.0,9.0,2459,223,187,9,7,235,24,10,10,4
1300,3,5,0,0,28,11,0,0,4,51.5,464,0,12,5,12,1697,18,1,2,5,11,11,0,1,0,9,1210.0,70.0,77.0,5.0,6.0,120.0,5.0,4.0,4.0,3.0,3374,346,328,10,9,209,21,19,10,9
1300,3,5,3,0,21,12,0,0,3,52,464,0,12,5,12,1298,8,1,0,12,0,8,1,0,12,0,2243.51580082,234.519756541,224.315351907,8.17710417987,8.02629419769,279.159391948,27.5323858147,26.8173996928,7.82135894586,7.9136315305,3260,304,342,9,10,315,38,28,12,8
1300,3,5,0,0,35,2,0,0,3,52,464,0,12,5,12,1399,5,1,1,20,20,5,1,1,20,20,1540.0,122.0,114.0,7.0,7.0,210.0,16.0,20.0,7.0,9.0,677,44,58,6,8,156,9,23,5,14
1300,3,5,0,0,36,9,0,0,2,52,464,0,12,5,12,1021,4,0,2,0,50,4,0,2,0,50,918.0,109.0,84.0,11.0,9.0,443.0,51.0,49.0,11.0,11.0,8250,734,839,8,10,194,14,14,7,7
1300,3,5,1,0,28,4,0,0,3,52,464,0,12,5,12,1367,11,1,0,9,0,11,1,0,9,0,3186.0,255.0,269.0,8.0,8.0,64.0,1.0,3.0,1.0,4.0,1120,92,95,8,8,340,21,28,6,8
1300,3,5,1,0,35,5,0,0,4,51,464,0,12,5,12,1715,16,0,1,0,6,9,0,0,0,0,1959.0,138.0,142.0,7.0,7.0,532.0,37.0,40.0,6.0,7.0,7425,599,657,8,8,201,17,18,8,8
1300,3,5,0,0,21,6,0,0,3,52.5,464,0,12,5,12,1334,7,1,1,14,14,7,1,1,14,14,1656.0,100.0,132.0,6.0,7.0,244.0,16.0,14.0,6.0,5.0,10032,906,968,9,9,328,35,28,10,8
1300,3,5,0,0,28,7,0,0,4,52.5,464,0,12,5,12,1724,22,2,3,9,13,12,1,0,8,0,109.0,4.0,5.0,3.0,4.0,109.0,4.0,5.0,3.0,4.0,6722,536,581,7,8,142,11,9,7,6
1300,3,5,0,0,22,8,0,1,3,57,464,0,12,5,12,1391,14,2,1,14,7,9,0,1,0,11,754.0,115.0,101.0,15.0,13.0,460.0,73.0,77.0,15.0,16.0,696,106,76,15,10,185,20,15,10,8
1300,3,5,2,0,43,3,0,0,3,52.5,464,0,12,5,12,1320,6,1,0,16,0,6,1,0,16,0,5041.0,633.0,629.0,12.0,12.0,269.0,37.0,41.0,13.0,15.0,1319,102,107,7,8,177,13,7,7,3
