course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1300,3,5,1,0,29,0,0,0,0,107,107,630,632,764,832,892,1128,849,831,832,832,5,포에버퀸,한,암,4,54,지하주,박병일,박흥길,464,0,12,6,12,1697,15,2,2,13,13,12,1,1,8,8,3,33.3,33.3,829,831,834,3186,255,269,8,8,64,1,3,1,4,677,44,58,6,8,156,9,23,5,14,841.65
1300,3,5,1,0,35,0,0,0,161,12,173,633,620,774,830,929,1134,854,830,830,830,6,하이유레카,한,수,3,55,유승완,최용구,이영해,464,0,12,6,12,1386,11,1,2,9,18,8,1,0,12,0,4,0.0,0.0,827,831,833,2896,221,224,7,7,430,32,41,7,9,696,106,76,15,10,185,20,15,10,8,837.88
1300,3,5,4,0,29,0,0,0,157,0,157,655,638,775,846,907,1147,864,846,846,846,7,파워무브,한,수,3,53.5,벨리,김동균,박성구,464,0,12,6,12,1319,8,0,2,0,25,8,0,2,0,25,2,0.0,50.0,846,846,846,109,4,5,3,4,109,4,5,3,4,1120,92,95,8,8,340,21,28,6,8,836.33
1300,3,5,0,0,57,0,96,0,0,51,147,637,626,761,821,887,1122,845,820,821,822,8,드림슬루,한,수,3,57,문세영,구자흥,드림커뮤니티,464,0,12,6,12,1369,5,1,1,20,20,5,1,1,20,20,2,50.0,50.0,822,822,823,6564,1331,995,20,15,480,111,71,23,14,1091,108,123,9,11,186,22,23,11,12,836.62
1300,3,5,0,0,119,0,0,0,78,25,103,630,630,759,822,902,1128,849,822,822,822,9,레크리스,한,거,4,51,이동하,하재흥,이유환,464,0,12,6,12,1757,20,1,1,5,5,8,0,0,0,0,7,14.3,28.6,823,844,867,114,10,10,8,8,114,10,10,8,8,10032,906,968,9,9,328,35,28,10,8,841.2
1300,3,5,4,0,21,0,0,0,0,204,204,643,632,767,827,894,1131,852,820,827,835,4,미라클투유,한,거,3,56,부민호,박희철,김창희,464,0,12,6,12,1331,6,1,0,16,0,6,1,0,16,0,3,0.0,0.0,824,832,837,1313,98,83,7,6,95,2,6,2,6,3927,339,360,8,9,275,17,20,6,7,843.66
1300,3,5,1,0,28,0,136,0,20,0,156,638,652,772,843,903,1142,860,833,841,849,10,골드피크,한,거,3,53.5,이혁,김학수,김명식,464,0,12,6,12,1398,11,1,0,9,0,8,1,0,12,0,1,0.0,0.0,849,849,849,1959,138,142,7,7,532,37,40,6,7,2227,230,201,10,9,153,14,16,9,10,838.06
1300,3,5,3,0,28,0,0,0,16,120,136,634,628,780,834,897,1135,855,830,834,843,11,베스트드래곤,한,거,3,55,김정준,박천서,베스트샤인조합,464,0,12,6,12,1384,8,1,1,12,12,8,1,1,12,12,4,25.0,25.0,825,834,847,1210,70,77,5,6,120,5,4,4,3,3374,346,328,10,9,209,21,19,10,9,838.64
1300,3,5,0,0,28,0,0,0,100,0,100,633,633,801,826,902,1133,853,822,826,832,12,베스트퀸,한,암,4,55,함완식,정호익,오상철,464,0,12,6,12,1681,17,2,2,11,11,10,0,1,0,10,6,0.0,0.0,823,829,833,5041,633,629,12,12,269,37,41,13,15,3260,304,342,9,10,315,38,28,12,8,836.2
1300,3,5,0,0,43,0,0,0,173,0,173,668,645,773,850,913,1155,870,845,850,854,2,출애,한,수,3,53,페로비치,박재우,이종천,464,0,12,6,12,1342,6,0,0,0,0,6,0,0,0,0,2,0.0,0.0,845,849,854,754,115,101,15,13,460,73,77,15,16,1300,171,134,13,10,259,41,34,15,13,835.8
1300,3,5,0,0,28,0,0,0,138,0,138,637,635,788,838,902,1141,859,830,838,847,3,금아베니르,한,암,3,52,장추열,배대선,김도욱,464,0,12,6,12,1332,12,1,0,8,0,11,1,0,9,0,7,14.3,14.3,830,838,850,2014,171,185,8,9,171,21,12,12,7,6196,744,697,12,11,355,30,33,8,9,840.67
1300,3,5,1,0,28,0,0,0,74,66,140,641,641,781,838,908,1148,865,838,838,838,1,대행대박,한,수,3,55,김동수,임봉춘,민홍기,464,0,12,6,12,1358,8,1,0,12,0,6,1,0,16,0,2,50.0,50.0,832,835,839,905,74,84,8,9,367,31,30,8,8,3670,276,302,7,8,317,21,39,6,12,837.73
