course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,5,4,-0.5,318,22,-1,-1,-1,57,62,5,0,0,4,51.5,460,7, 9,7,11,1663,20,3,2,15,10,11,0,1,0,9,14,21.4,35.7,606,619,635,256,20,15,7,5,256,20,15,7,5,3232,298,337,9,10,314,35,24,11,7
1000,5,4,1,71,42,-1,-1,-1,128,-1,6,0,1,3,53,519,3, 9,7,11,1369,11,2,2,18,18,11,2,2,18,18,4,50.0,75.0,609,615,624,69,1,4,1,5,69,1,4,1,5,2123,192,207,9,9,451,41,44,9,9
1000,5,4,0,-167,36,-1,-1,-1,96,-1,9,0,0,4,51,458,-6, 9,7,11,1701,24,1,8,4,33,9,0,2,0,22,8,0.0,50.0,608,629,659,870,69,82,7,9,362,30,34,8,9,2243,212,206,9,9,163,12,15,7,9
1000,5,4,0,250,28,-1,-1,-1,130,-1,8,0,0,3,52,472,7, 9,7,11,1300,6,2,1,33,16,6,2,1,33,16,3,66.7,66.7,615,622,636,6520,1320,988,20,15,494,111,72,22,14,558,71,40,12,7,211,36,16,17,7
1000,5,4,-3.5,-54,56,-1,-1,-1,-1,128,4,0,2,3,52,491,-3, 9,7,11,1328,9,1,4,11,44,7,0,4,0,57,1,0.0,0.0,611,611,611,320,18,22,5,6,278,16,22,5,7,3356,345,326,10,9,215,23,19,10,8
1000,5,4,-2.5,-137,22,-1,-1,-1,57,35,1,0,0,4,53,429,-3, 9,7,11,1675,18,3,3,16,16,8,1,3,12,37,6,0.0,16.7,597,620,641,2556,355,274,13,10,244,21,30,8,12,3878,438,394,11,10,134,17,12,12,8
1000,5,4,-1,-276,29,-1,-1,-1,45,80,2,0,0,5,52,487,-8, 9,7,11,2054,33,3,3,9,9,11,0,0,0,0,4,25.0,25.0,623,629,641,61,3,0,4,0,61,3,0,4,0,3438,336,288,9,8,164,6,9,3,5
1000,5,4,1,95,21,-1,-1,-1,46,55,3,0,0,3,52,444,2, 9,7,11,1331,9,2,1,22,11,9,2,1,22,11,4,50.0,75.0,610,618,623,1629,100,130,6,7,241,18,12,7,4,3216,239,274,7,8,308,25,28,8,9
1000,5,4,1.0,227,22,-1,8,-1,-1,60,7,0,2,4,55.5,429,5, 9,7,11,1707,29,2,4,6,13,14,1,3,7,21,20,10.0,20.0,613,624,643,5012,627,624,12,12,266,33,39,12,14,1109,68,76,6,6,215,8,12,3,5
