course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1400,8,4,0.0,-129,70,-1,49,-1,85,7,12,7,1,5,54.0,469,-9,12,10,11,1918,24,2,1,8,4,10,0,0,0,0,8,12.5,12.5,879,892.0,910.0,1977,165,183,8,9,165,19,14,11,8,2064,215,175,10,8,278,28,33,10,11
2300,8,1,-5.0,-38,27,-1,-1,-1,77,-1,4,4,2,5,52.0,463,-1,8,11,11,2076,38,3,5,7,13,14,0,2,0,14,-1,-1.0,-1.0,-1,-1.0,-1.0,2846,217,219,7,7,437,36,39,8,8,1718,145,140,8,8,203,22,12,10,5
2300,8,1,-2.5,-38,27,-1,147,-1,-1,30,8,4,1,6,54.5,506,-1,8,11,11,2375,45,7,8,15,17,9,1,2,11,22,4,25.0,25.0,1486,1512.0,1539.0,313,17,21,5,6,278,15,21,5,7,3641,275,297,7,8,319,21,36,6,11
2300,8,1,-0.5,214,28,-1,-1,-1,74,20,1,4,1,4,52.0,481,6,8,11,11,1738,18,4,3,22,16,10,3,1,30,10,-1,-1.0,-1.0,-1,-1.0,-1.0,1417,74,111,5,7,588,34,39,5,6,68,13,11,19,16,68,13,11,19,16
2300,8,1,-2.5,88,34,-1,-1,-1,85,129,6,4,1,6,54.5,526,3,8,11,11,2434,47,5,10,10,21,10,3,1,30,10,-1,-1.0,-1.0,-1,-1.0,-1.0,5622,693,654,12,11,239,37,36,15,15,2064,215,175,10,8,278,28,33,10,11
2300,8,1,-2.5,-223,27,-1,-1,-1,104,-1,7,4,1,5,54.5,509,-6,8,11,11,2008,34,5,7,14,20,9,2,1,22,11,1,0.0,0.0,1483,1483.0,1483.0,675,101,90,14,13,441,68,71,15,16,2118,191,206,9,9,455,42,44,9,9
2300,8,1,1.0,-223,27,-1,-1,-1,147,27,2,4,1,5,58.0,484,-6,8,11,11,2108,37,8,4,21,10,10,2,1,20,10,-1,-1.0,-1.0,-1,-1.0,-1.0,6504,1318,985,20,15,494,110,74,22,14,7672,719,726,9,9,252,32,28,12,11
2300,8,1,0.0,-34,90,-1,-1,-1,110,16,3,4,2,7,51.0,491,-3,8,11,11,2733,35,7,4,20,11,7,0,0,0,0,-1,-1.0,-1.0,-1,-1.0,-1.0,248,20,15,8,6,248,20,15,8,6,2175,197,187,9,8,218,14,12,6,5
2300,8,1,0.0,95,42,-1,-1,-1,92,58,5,4,1,5,51.0,516,4,8,11,11,2035,22,5,0,22,0,6,1,0,16,0,-1,-1.0,-1.0,-1,-1.0,-1.0,859,68,82,7,9,358,29,34,8,9,970,83,103,8,10,280,24,24,8,8
1200,8,5,3.0,285,35,-1,-1,-1,-1,94,3,7,1,3,54.0,473,10,10,12,11,1132,5,2,2,40,40,5,2,2,40,40,3,33.3,66.7,744,745.0,746.0,1977,165,183,8,9,165,19,14,11,8,6150,737,694,11,11,347,29,35,8,10
1200,8,5,3.5,-30,34,-1,-1,-1,56,73,2,4,0,4,54.5,449,-1,10,12,11,1726,11,4,1,36,9,6,1,0,16,0,6,50.0,66.7,738,746.0,757.0,441,64,41,14,9,334,50,33,14,9,7406,599,656,8,8,201,19,20,9,9
1200,8,5,0.0,200,90,-1,-1,-1,87,31,5,4,0,4,51.0,467,18,10,12,11,1725,17,3,1,17,5,7,2,0,28,0,4,25.0,50.0,749,754.0,760.0,248,20,15,8,6,248,20,15,8,6,1075,107,119,9,11,190,24,22,12,11
