course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1000,4,5,0,-75,27,0,0,0,93,0,93,627,627,761,833,888,1123,845,631,637,643,1,엄지강호,한,암,4,56,김철호,김순근,권인택,467,-2,10,5,12,1754,24,1,4,4,16,10,0,3,0,30,0,1,4,636,642,648,1540,122,114,7,7,210,16,20,7,9,3907,271,331,6,8,248,19,24,7,9,630.7
1000,4,5,0,0,27,0,75,0,0,0,75,633,622,774,835,896,1133,853,622,622,622,10,먼데이머니,한,암,3,52,벨리,정호익,김근영,466,0,10,5,12,1378,7,0,0,0,0,7,0,0,0,0,0,1,4,636,642,648,109,4,5,3,4,109,4,5,3,4,3260,304,342,9,10,315,38,28,12,8,622.16
1000,4,5,1,-19,55,0,0,0,0,149,149,643,617,760,827,886,1121,844,613,617,620,2,로열파크,한,암,2,54,이준철,김대근,신상섭,470,-1,10,5,12,974,4,1,1,25,25,4,1,1,25,25,0,1,4,636,642,648,2544,188,223,7,8,150,17,20,11,13,7324,694,750,9,10,270,41,29,15,10,617.93
1000,4,5,1,57,35,0,0,0,157,0,157,632,632,764,840,895,1132,852,631,637,643,3,에버에이원,한,거,3,53,조재로,배휴준,권택종,493,2,10,5,12,1341,11,0,1,0,9,9,0,1,0,11,0,1,4,636,642,648,445,43,44,9,9,316,33,38,10,12,3232,239,277,7,8,303,23,30,7,9,625.03
1000,4,5,0,121,41,0,0,0,133,21,154,634,631,767,844,897,1134,854,631,631,631,9,엠제이핫,한,암,3,52,임기원,양희진,류재욱,498,5,10,5,12,1356,16,0,2,0,12,12,0,2,0,16,0,1,4,636,642,648,918,109,84,11,9,443,51,49,11,11,649,49,42,7,6,171,16,6,9,3,627.6
1000,4,5,0,-30,168,0,136,0,0,8,144,633,627,773,833,896,1133,853,627,627,627,5,제이두리,한,거,4,53.5,이혁,우창구,정기환,481,-5,10,5,12,1673,6,1,0,16,0,6,1,0,16,0,0,1,4,636,642,648,1959,138,142,7,7,532,37,40,6,7,2092,218,178,10,8,276,30,30,10,10,625.39
1000,4,5,0,200,20,0,0,0,104,0,104,632,624,781,840,894,1131,852,610,624,641,6,로열정상,한,암,3,51.5,이아나,서인석,조금제,468,4,10,5,12,1354,11,0,2,0,18,10,0,2,0,20,0,1,4,636,642,648,1011,50,44,4,4,102,6,3,5,2,2160,194,215,8,9,444,38,49,8,11,626.61
1000,4,5,1,0,20,0,0,0,97,16,113,628,628,762,829,889,1124,846,618,628,635,7,퍼펙트빅씨,한,암,3,52,조인권,곽영효,이선종,461,0,10,5,12,1400,15,1,3,6,20,9,0,2,0,22,0,1,4,636,642,648,2601,361,281,13,10,289,27,37,9,12,3893,439,396,11,10,136,15,14,11,10,626.91
1000,4,5,0,0,28,0,0,0,67,64,131,641,624,770,837,897,1134,854,624,624,624,8,삼정매그넘,한,암,3,53.5,페로비치,김점오,삼정,466,0,10,5,12,1340,5,1,1,20,20,5,1,1,20,20,0,1,4,636,642,648,754,115,101,15,13,460,73,77,15,16,7697,720,728,9,9,246,30,28,12,11,625.5
1000,4,5,0,-133,98,0,0,0,63,53,116,639,629,794,844,904,1144,861,623,629,635,4,수안스타,한,암,3,53,김동수,홍대유,(주)대명종합건설,464,-13,10,5,12,1385,7,1,0,14,0,6,1,0,16,0,0,1,4,636,642,648,905,74,84,8,9,367,31,30,8,8,2459,223,187,9,7,235,24,10,10,4,631.32
