course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1300,7,6,-1,-630,27,0,0,0,144,0,144,640.978590993,638.751534274,760.10833511,855.515413988,891.400759666,1136.55118058,820.550969101,855.515413988,855.515413988,855.515413988,1,0,0,3,51,435.0,-17,10,4,12,1320,7,0,0,0,0,7,0,0,0,0,2,0.0,0.0,849,851,853,342,19,24,5,7,291,17,23,5,7,1187,121,110,10,9,209,19,29,9,13
1300,7,6,1,-400,20,0,0,0,95,49,144,649.912317849,642.976615594,791.813901898,895.600509601,891.400759666,1136.55118058,834.709214197,895.600509601,895.600509601,895.600509601,10,0,1,3,57,507.0,-8,10,4,12,1355,4,0,0,0,0,4,0,0,0,0,2,0.0,0.0,843,858,873,740,114,99,15,13,455,73,75,16,16,3833,348,353,9,9,182,13,16,7,8
1300,7,6,-2,-184,49,0,0,0,150,11,161,657.734938871,651.2574478,796.245979429,859.404204484,891.400759666,1136.55118058,832.099085138,845.952136691,859.404204484,874.045660201,2,0,0,3,54,440.0,-9,10,4,12,1360,8,0,0,0,0,8,0,0,0,0,4,0.0,0.0,851,858,870,2589,358,281,13,10,277,24,37,8,13,5386,725,584,13,10,283,43,22,15,7
1300,7,6,-1,-143,14,0,0,0,34,67,101,645.076702308,643.501903281,817.2212638,862.195881957,891.400759666,1136.55118058,832.657948598,851.503618378,862.195881957,872.863540847,3,0,0,3,54,436.0,-2,10,4,12,1410,8,0,0,0,0,8,0,0,0,0,4,0.0,0.0,849,858,864,1256,89,73,7,5,193,13,12,6,6,3448,337,289,9,8,157,7,10,4,6
1300,7,6,-1,-112,27,0,0,0,92,0,92,671.536304714,638.782386577,793.63202207,867.215007138,891.400759666,1136.55118058,833.18627679,854.887294571,867.215007138,876.577340945,9,0,0,3,50,433.0,-3,10,4,12,1306,10,0,0,0,0,10,0,0,0,0,6,0.0,0.0,849,866,881,92,2,7,2,7,92,2,7,2,7,2150,193,214,8,9,442,38,48,8,10
1300,7,6,1.0,285,28,0,0,0,151,0,151,654.242814461,646.314469248,783.388903948,856.211981515,891.400759666,1136.55118058,828.018351569,856.211981515,856.211981515,856.211981515,5,0,1,2,55.5,446.0,8,10,4,12,1007,6,0,0,0,0,6,0,0,0,0,2,0.0,0.0,847,851,855,1649,100,132,6,8,240,16,14,6,5,6720,536,581,7,8,143,11,9,7,6
1300,7,6,0.5,285,28,0,0,0,98,41,139,654.118817649,635.368935763,760.10833511,860.606278698,891.400759666,1136.55118058,823.02571791,857.213399037,860.606278698,863.99915836,6,0,0,2,52.5,465.0,8,10,4,12,999,5,0,0,0,0,5,0,0,0,0,2,0.0,0.0,856,858,860,99,4,3,4,3,99,4,3,4,3,109,3,9,2,8,109,3,9,2,8
1300,7,6,0,-143,35,0,0,0,17,94,111,636.538988141,634.37680427,795.203462524,885.459552801,891.400759666,1136.55118058,829.92179133,867.738590061,885.459552801,903.180515541,7,0,2,3,56,454.0,-5,10,4,12,1313,6,0,0,0,0,6,0,0,0,0,4,0.0,0.0,853,873,899,1307,98,83,7,6,93,2,6,2,6,3921,339,360,8,9,273,17,20,6,7
1300,7,6,3,-36,28,0,0,0,0,79,79,666.292250457,650.583747823,785.443356108,857.527745573,891.400759666,1136.55118058,831.299840034,851.86649141,857.527745573,873.236079393,8,0,0,3,54,454.0,-1,10,4,12,1296,14,0,1,0,7,14,0,1,0,7,8,0.0,0.0,846,857,872,5030,630,628,12,12,262,34,41,12,15,1114,92,94,8,8,338,21,27,6,7
1300,7,6,-1,37,27,0,0,0,158,15,173,652.817260163,669.674965024,805.511134618,859.081285398,891.400759666,1136.55118058,835.839430907,844.194971248,859.081285398,872.005078076,4,0,1,3,56,488.0,1,10,4,12,1332,10,0,0,0,0,7,0,0,0,0,6,0.0,0.0,843,855,868,7489,518,601,6,8,289,7,18,2,6,8245,734,837,8,10,193,15,12,7,6
