course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,4,4,1,-229,35,0,255,0,0,10,265,646,646,785,854,915,1157,871,631,637,643,8,4,1,2,52,446,-8,12,6,12,944,1,0,0,0.0,0.0,1,0,0,0.0,0.0,0,1,4,636,642,648,2601.0,361.0,281.0,13.0,10.0,289.0,27.0,37.0,9.0,12.0,1191,121,110,10,9,207,19,27,9,13
1000,4,4,0,-172,35,0,0,0,16,90,106,634,627,764,831,890,1126,848,625,627,628,9,7,0,3,51,472,-6,12,6,12,1184,3,0,0,0.0,0.0,3,0,0,0.0,0.0,0,1,4,636,642,648,905.0,74.0,84.0,8.0,9.0,367.0,31.0,30.0,8.0,8.0,2459,223,187,9,7,235,24,10,10,4
1000,4,4,1,-929,14,0,0,0,152,15,167,633,630,766,842,917,1133,853,619,630,639,1,4,1,3,51,489,-13,12,6,12,1338,13,0,1,0.0,7.0,11,0,1,0.0,9.0,0,1,4,636,642,648,1011.0,50.0,44.0,4.0,4.0,102.0,6.0,3.0,5.0,2.0,2279,216,210,9,9,199,16,19,8,9
1000,4,4,0,0,100,0,0,0,72,67,139,638,638,775,843,903,1142,860,631,637,643,10,4,1,2,52,482,3,12,6,12,953,0,0,0,6.59430498439,8.70320220156,0,0,0,6.11625840117,8.49478984522,0,0,0,636,642,648,1959.0,138.0,142.0,7.0,7.0,532.0,37.0,40.0,6.0,7.0,7425,599,657,8,8,201,17,18,8,8
1000,4,4,3,-72,70,0,0,0,114,42,156,630,628,764,831,890,1126,848,628,628,628,11,4,1,2,52,477,-5,12,6,12,937,1,0,0,0.0,0.0,1,0,0,0.0,0.0,0,1,4,636,642,648,2366.50190106,254.799905413,240.83609266,8.32598304554,8.05463590173,288.217996753,29.3606010984,28.0137682133,8.11403930302,7.93016302394,3837,349,353,9,9,183,14,15,7,8
1000,4,4,0,-24,42,0,0,0,29,82,111,636,629,757,832,891,1127,848,631,637,643,7,4,2,2,54.5,492,-1,12,6,12,1034,2,0,1,0.0,50.0,2,0,1,0.0,50.0,0,0,0,636,642,648,6564.0,1331.0,995.0,20.0,15.0,480.0,111.0,71.0,23.0,14.0,581,74,44,12,7,215,33,20,15,9
1000,4,4,2,-89,34,0,15,0,27,54,96,637,637,774,842,902,1141,859,631,637,643,2,4,2,2,52,475,-3,12,6,12,985,1,0,0,0.0,0.0,1,0,0,0.0,0.0,0,0,0,636,642,648,754.0,115.0,101.0,15.0,13.0,460.0,73.0,77.0,15.0,16.0,696,106,76,15,10,185,20,15,10,8
1000,4,4,1,35,28,0,0,0,156,0,156,630,633,772,836,896,1133,853,631,637,643,3,4,1,2,52,477,1,12,6,12,1049,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,0,0,636,642,648,4638.0,713.0,613.0,15.0,13.0,457.0,55.0,43.0,12.0,9.0,2160,194,215,8,9,444,38,49,8,11
1000,4,4,0,0,100,0,0,0,43,92,135,663,663,806,877,939,1188,894,631,637,643,4,4,2,2,52,424,-18,12,6,12,1010,0,0,0,6.59430498439,8.70320220156,0,0,0,6.11625840117,8.49478984522,0,0,0,636,642,648,2754.0,207.0,218.0,7.0,7.0,431.0,38.0,42.0,8.0,9.0,5394,728,584,13,10,287,46,22,16,7
1000,4,4,2,195,41,39,0,0,21,45,105,626,621,765,834,887,1147,844,613,621,629,5,4,2,5,54.5,515,8,12,6,12,2119,10,0,0,0.0,0.0,10,0,0,0.0,0.0,0,1,4,636,642,648,114.0,10.0,10.0,8.0,8.0,114.0,10.0,10.0,8.0,8.0,1124,69,77,6,6,212,9,12,4,5
1000,4,4,1,333,21,0,0,0,153,13,166,648,646,783,854,915,1157,871,631,637,643,6,4,1,2,52,539,7,12,6,12,973,2,0,0,0.0,0.0,2,0,0,0.0,0.0,0,1,4,636,642,648,3046.0,271.0,269.0,8.0,8.0,317.0,31.0,23.0,9.0,7.0,10557,809,932,7,8,337,23,25,6,7
1000,4,4,0,-258,35,0,0,0,90,33,123,635,623,776,851,901,1140,858,623,623,623,12,7,0,4,51,458,-9,12,6,12,1576,9,0,0,0.0,0.0,7,0,0,0.0,0.0,0,1,4,636,642,648,918.0,109.0,84.0,11.0,9.0,443.0,51.0,49.0,11.0,11.0,2194,199,187,9,8,211,14,12,6,5
