course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,7,6,0,47,21,0,0,0,0,126,126,649.081519416,638.232298844,760.10833511,839.632041428,891.400759666,1136.55118058,819.167689173,638.232298844,638.232298844,638.232298844,1,0,2,2,50,488.0,1,11,1,12,1038,2,0,0,0.0,0.0,2,0,0,0.0,0.0,1,0.0,0.0,637.0,637.0,637.0,92,2,7,2,7,92,2,7,2,7,2150,193,214,8,9,442,38,48,8,10
1000,7,6,1,121,41,0,17,0,0,91,108,645.51502472,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,817.930690962,628.324978088,634.37680427,643.310064837,10,0,1,2,55,472.0,5,11,1,12,954,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,630.0,630.0,630.0,4629,712,611,15,13,451,55,41,12,9,3465,303,310,8,8,173,35,20,20,11
1000,7,6,0,23,42,0,0,0,0,149,149,654.955837125,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,819.504159696,628.324978088,634.37680427,643.310064837,11,0,1,2,54,496.0,1,11,1,12,967,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,641.0,641.0,641.0,1307,98,83,7,6,93,2,6,2,6,3921,339,360,8,9,273,17,20,6,7
1000,7,6,1,181,55,0,0,0,20,71,91,626.186737027,652.45728758,760.10833511,839.632041428,891.400759666,1136.55118058,817.722723565,631.218757099,652.45728758,673.695818062,2,0,1,2,55,509.0,10,11,1,12,1007,2,0,0,0.0,0.0,2,0,0,0.0,0.0,2,0.0,0.0,630.0,653.0,677.0,740,114,99,15,13,455,73,75,16,16,1294,195,110,15,8,290,33,22,11,7
1000,7,6,0,0,1000,0,0,0,0,145,145,676.208924627,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,823.046340946,628.324978088,634.37680427,643.310064837,3,0,1,2,54,474.0,-1,11,1,12,1027,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,1817,75,112,4,6,80,2,1,2,1,10550,809,931,7,8,334,23,24,6,7
1000,7,6,0,111,27,0,0,0,0,98,98,657.940776794,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,820.001649641,628.324978088,634.37680427,643.310064837,4,0,1,2,54,503.0,3,11,1,12,970,1,0,0,0.0,0.0,1,0,0,0.0,0.0,1,0.0,0.0,631.0,631.0,631.0,2007,171,185,8,9,171,23,13,13,7,6187,744,697,12,11,355,33,33,9,9
1000,7,6,0,0,1000,0,0,0,0,104,104,658.100849297,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,820.028328391,628.324978088,634.37680427,643.310064837,5,0,0,2,52,403.0,11,11,1,12,960,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,1203,70,77,5,6,113,5,4,4,3,4274,278,365,6,8,168,8,18,4,10
1000,7,6,0,0,1000,0,0,0,59,77,136,646.024655431,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,818.015629414,628.324978088,634.37680427,643.310064837,6,0,0,2,50,472.0,1,11,1,12,945,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,342,19,24,5,7,291,17,23,5,7,3372,346,328,10,9,212,22,19,10,8
1000,7,6,0,0,1000,0,0,0,0,110,110,672.880736674,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,822.491642954,628.324978088,634.37680427,643.310064837,7,0,0,2,52,461.0,2,11,1,12,959,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,1256,89,73,7,5,193,13,12,6,6,574,74,43,12,7,211,33,19,15,9
1000,7,6,0,0,1000,0,0,0,0,169,169,646.172543156,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,818.040277368,628.324978088,634.37680427,643.310064837,8,0,0,2,52,441.0,-2,11,1,12,945,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,2542,188,223,7,8,153,19,21,12,13,7319,693,750,9,10,270,42,30,15,11
1000,7,6,0,0,1000,0,0,0,18,138,156,676.886839817,634.37680427,760.10833511,839.632041428,891.400759666,1136.55118058,823.159326811,628.324978088,634.37680427,643.310064837,9,0,0,2,52,454.0,0,11,1,12,935,0,0,0,6.69081406265,8.1482969645,0,0,0,6.17188062064,7.82825565933,0,0.0,0.0,630.939483663,636.991309845,645.924570413,438,43,43,9,9,316,33,37,10,11,3228,239,276,7,8,305,23,29,7,9
