course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1000,5,5,0,0,21,0,0,0,0,110,110,648.648648649,628.634953056,776.778694787,843.1374421,903.3792085,1142.496707,823.845942348,1,0,0,4,52,-1,0,11,5,12,1728,29,0,1,0,3,14,0,0,0,0,13,0.0,0.0,616,627,644,1636,70,83,4,5,76,6,5,7,6,5272,390,430,7,8,177,11,11,6,6
1000,5,5,-1.5,0,34,0,0,0,31,95,126,665.665665666,636.329377823,787.57387701,843.1374421,903.3792085,1142.496707,829.763713016,10,0,0,3,52,-1,0,11,5,12,1349,9,0,3,0,33,8,0,3,0,37,7,0.0,42.9,616,632,655,2881,219,222,7,7,439,31,41,7,9,4270,277,365,6,8,170,7,19,4,11
1000,5,5,1.5,0,35,0,0,0,39,74,113,654.345654346,622.883180134,775.2310909,843.1374421,903.3792085,1142.496707,823.578880497,11,0,1,2,55,-1,0,11,5,12,947,4,1,0,25,0,4,1,0,25,0,4,25.0,25.0,615,623,629,2743,205,217,7,7,446,39,41,8,9,8895,770,823,8,9,289,21,28,7,9
1000,5,5,-3,0,28,0,0,0,0,101,101,660.33966034,624.750499002,754.980079681,843.1374421,903.3792085,1142.496707,821.51393277,2,0,0,2,52,-1,0,11,5,12,996,4,1,0,25,0,4,1,0,25,0,1,0.0,0.0,626,626,626,1999,171,183,8,9,166,24,13,14,7,6178,744,695,12,11,353,35,34,9,9
1000,5,5,0,0,35,0,0,0,56,90,146,632.78963279,625.894461032,781.084239728,843.1374421,911.44278607,1142.496707,822.807544787,3,0,1,4,57,-1,0,11,5,12,1681,12,2,1,16,8,9,1,1,11,11,9,22.2,33.3,612,626,641,723,108,98,14,13,451,70,76,15,16,3445,336,289,9,8,159,6,10,3,6
1000,5,5,-2,0,28,0,0,0,0,108,108,327.966792692,651.696606786,775.2310909,843.1374421,903.3792085,1142.496707,773.98464133,9,0,1,2,52,-1,0,11,5,12,956,2,1,0,50,0,2,1,0,50,0,2,50.0,50.0,632,642,653,1644,100,132,6,8,242,16,14,6,5,10543,807,931,7,8,337,21,25,6,7
1000,5,5,-4.5,0,28,0,0,0,173,0,173,649.052841476,627.456048863,769.384384384,843.1374421,903.3792085,1142.496707,822.484438721,5,0,0,3,51,-1,0,11,5,12,1309,7,1,1,14,14,7,1,1,14,14,5,20.0,40.0,614,628,653,99,9,9,9,9,99,9,9,9,9,1185,121,110,10,9,211,20,29,9,13
1000,5,5,-0.5,0,28,0,0,0,117,0,117,689.766321503,629.62962963,775.325977934,855.797816641,903.3792085,1142.496707,832.732610201,6,0,0,3,52,-1,0,11,5,12,1330,5,1,0,20,0,5,1,0,20,0,2,0.0,0.0,629,630,632,2581,356,279,13,10,269,22,35,8,13,3248,301,339,9,10,314,37,26,11,8
1000,5,5,3,0,28,0,35,0,66,43,144,654.193115271,629.688579459,776.67907326,837.760595819,903.3792085,1142.496707,824.032879885,7,0,1,4,55,-1,0,11,5,12,1747,20,2,1,10,5,11,1,0,9,0,11,18.2,18.2,619,629,643,88,4,3,4,3,88,4,3,4,3,643,49,42,7,6,173,17,6,9,3
1000,5,5,-3,0,28,0,64,0,0,74,138,664.400864285,635.934587282,773.568562911,683.675929865,903.3792085,1142.496707,800.57597664,8,0,0,3,52,-1,0,11,5,12,1375,12,0,1,0,8,12,0,1,0,8,5,0.0,0.0,630,637,642,7482,518,601,6,8,288,7,18,2,6,3898,270,331,6,8,255,20,24,7,9
1000,5,5,-0.5,0,28,0,0,0,14,127,141,658.682634731,634.025941509,774.960517187,833.07992008,903.3792085,1142.496707,824.437488168,4,0,1,3,52,-1,0,11,5,12,1378,11,0,2,0,18,10,0,1,0,10,6,0.0,33.3,622,633,657,5380,399,469,7,8,263,23,13,8,4,7315,693,750,9,10,274,43,31,15,11
