course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,idx,name,cntry,gender,age,budam,jockey,trainer,owner,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2,predict
1300,5,5,0.0,250,28,-1,-1,-1,20,124,6,대반격,한,거,4,54.5,박병윤,최상식,장재형,475.0,7,12,6,11,1691,17,0,2,0,11,5,0,1,0,20,6,0.0,16.7,815,835,867,1637,100,131,6,8,242,17,13,7,5,5267,389,430,7,8,178,10,11,5,6,834.42
1300,5,5,0.5,265,49,-1,-1,-1,158,-1,7,본위너,한,수,3,55,페로비치,박재우,김정성,467.0,13,12,6,11,1352,6,1,0,16,0,6,1,0,16,0,3,0.0,0.0,831,837,841,707,106,97,14,13,449,69,77,15,17,1276,168,133,13,10,252,40,33,15,13,830.39
1300,5,5,-3.5,81,49,-1,-1,-1,142,-1,8,다크앰버,한,암,3,52,조성곤,우창구,이종원,446.0,4,12,6,11,1301,9,0,1,0,11,9,0,1,0,11,3,0.0,33.3,841,851,858,4606,709,609,15,13,430,53,40,12,9,2077,218,175,10,8,278,30,30,10,10,840.08
1300,5,5,0.5,142,28,-1,-1,-1,41,65,9,광폭질주,한,수,4,52,장추열,배대선,서홍배,458.0,4,12,6,11,1681,13,0,2,0,15,8,0,0,0,0,5,0.0,0.0,825,834,840,1992,169,183,8,9,166,22,13,13,7,6171,742,695,12,11,353,33,34,9,9,834.07
1300,5,5,0.5,147,34,-1,-1,-1,96,9,1,금태풍,한,수,4,52.5,임기원,박병일,배태곤,474.0,5,12,6,11,1734,18,1,2,5,11,10,0,1,0,10,6,0.0,16.7,822,842,876,877,103,79,11,9,426,47,44,11,10,669,44,57,6,8,156,9,22,5,14,833.62
1300,5,5,-2,142,35,6,-1,-1,68,-1,10,완전잘나가,한,암,4,53,김혜선,최봉주,박종율,435.0,5,12,6,11,1667,9,1,0,11,0,7,1,0,14,0,4,25.0,25.0,836,843,849,2732,205,216,7,7,444,39,40,8,9,1727,146,141,8,8,207,22,13,10,6,832.04
1300,5,5,-3.5,316,98,-1,-1,-1,109,-1,11,미라클가든,한,암,3,52.5,이혁,김순근,김창희,527.0,31,12,6,11,1364,6,1,1,16,16,6,1,1,16,16,4,25.0,50.0,836,839,843,1923,135,141,7,7,520,36,39,6,7,3893,269,331,6,8,258,19,26,7,10,843.16
1300,5,5,0,-143,35,-1,-1,-1,111,14,12,곤설,한,수,4,52,조인권,서범석,지원철,457.0,-5,12,6,11,1686,18,0,2,0,11,11,0,1,0,9,6,0.0,16.7,819,829,837,2565,355,276,13,10,253,21,32,8,12,3825,348,353,9,9,182,13,18,7,9,832.94
1300,5,5,2,178,28,-1,120,-1,-1,10,2,와일드선더,한,수,2,55,문정균,김동균,박준배,510.0,5,12,6,11,964,4,0,2,0,50,4,0,2,0,50,1,0.0,100.0,826,826,826,5373,396,469,7,8,262,20,14,7,5,1104,91,94,8,8,341,22,27,6,7,831.22
1300,5,5,1,185,27,-1,126,-1,-1,19,3,송암강자,한,수,3,57,송재철,최용구,지원철,480.0,5,12,6,11,1369,13,2,1,15,7,9,1,1,11,11,6,16.7,33.3,804,824,837,1430,75,113,5,7,588,35,41,5,6,686,105,76,15,11,185,22,16,11,8,831.45
1300,5,5,-0.5,111,27,-1,14,-1,143,-1,4,나트랑,한,수,2,54,이준철,김대근,고양진,458.0,3,12,6,11,944,5,1,1,20,20,5,1,1,20,20,2,50.0,50.0,837,842,847,2534,187,221,7,8,155,19,22,12,14,7309,691,749,9,10,275,42,33,15,12,833.79
1300,5,5,-1.5,208,91,-1,-1,-1,125,26,5,퍼펙트러버,한,거,3,55,정정희,유재길,이선종,489.0,19,12,6,11,1329,10,1,2,10,20,9,1,2,11,22,5,0.0,40.0,828,835,843,661,31,37,4,5,245,14,14,5,5,4581,371,396,8,8,256,15,12,5,4,842.08
