course,humidity,kind,dbudam,drweight,lastday,ts1,ts2,ts3,ts4,ts5,ts6,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,idx,cntry,gender,age,budam,weight,dweight,cnt,rcno,month,hr_days,hr_nt,hr_nt1,hr_nt2,hr_t1,hr_t2,hr_ny,hr_ny1,hr_ny2,hr_y1,hr_y2,hr_dt,hr_d1,hr_d2,hr_rh,hr_rm,hr_rl,jk_nt,jk_nt1,jk_nt2,jk_t1,jk_t2,jk_ny,jk_ny1,jk_ny2,jk_y1,jk_y2,tr_nt,tr_nt1,tr_nt2,tr_t1,tr_t2,tr_ny,tr_ny1,tr_ny2,tr_y1,tr_y2
1700,18,3,1,411,34,0,0,0,0,82,82,626,626,760,827,890,1116,843,1105,1116,1121,8,0,0,4,52,464,14,12,11,12,1683,20,4,2,20,10,9,0,0,0,0,5,0,20,1098,1116,1125,1101,62,61,5.0,5.0,127,7,9,5.0,7.0,3915,272,333,6,8,246,18,26,7,10
1700,18,3,1,48,104,0,0,0,139,0,139,622,622,756,822,880,1114,839,1113,1114,1114,9,0,0,5,53.5,497,5,12,11,12,2074,24,4,1,16,4,5,0,1,0,20,5,0,20,1115,1124,1142,452,44,44,9.0,9.0,311,30,37,9.0,11.0,3240,240,277,7,8,298,22,28,7,9
1700,18,3,1,323,34,0,0,0,152,0,152,629,629,767,831,883,1166,848,1166,1166,1166,1,0,1,4,54,502,11,12,11,12,1762,20,4,2,20,10,9,1,0,11,0,3,33,33,1125,1149,1168,1547,123,115,7.0,7.0,217,17,21,7.0,9.0,2171,194,216,8,9,437,36,47,8,10
1700,18,3,0,-38,27,0,0,0,154,0,154,626,626,762,826,885,1139,844,1139,1139,1139,10,0,0,5,52,484,-1,12,11,12,2124,24,3,3,12,12,10,0,0,0,0,1,0,0,1140,1140,1140,3189,255,269,7.0,8.0,61,1,3,1.0,4.0,681,44,58,6,8,154,8,21,5,13
1700,18,3,1,321,28,0,0,0,76,37,113,627,627,762,831,890,1118,845,1103,1118,1132,11,0,1,3,55.5,471,9,12,11,12,1366,16,4,2,25,12,11,3,1,27,9,5,40,60,1096,1117,1138,2908,221,224,7.0,7.0,417,31,39,7.0,9.0,3270,304,342,9,10,311,38,28,12,9
1700,18,3,0,-72,28,0,0,0,19,95,114,622,622,755,821,880,1113,838,1131,1139,1148,7,0,0,4,51,489,-2,12,11,12,1694,14,4,0,28,0,10,4,0,40,0,0,0,0,1128,1137,1146,2765,209,220,7.0,7.0,418,38,43,9.0,10.0,5399,729,584,13,10,284,46,21,16,7
1700,18,3,3,357,28,0,0,0,104,0,104,630,630,755,833,892,1131,850,1114,1131,1153,2,0,1,5,56,479,10,12,11,12,2086,32,3,4,9,12,11,1,2,9,18,7,14,28,1119,1131,1153,0,0,0,8.92496671435,8.46787108158,0,0,0,8.83902629965,8.44834187673,3840,349,353,9,9,181,14,13,7,7
1700,18,3,0,142,42,21,0,0,51,28,100,625,625,756,817,909,1138,843,1138,1138,1138,3,0,0,3,52,506,6,12,11,12,1407,14,3,3,21,21,12,3,2,25,16,2,0,0,1138,1140,1142,4646,714,613,15.0,13.0,452,55,41,12.0,9.0,825,45,57,5,6,186,11,14,5,7
1700,18,3,5,285,28,0,0,0,32,86,118,626,623,757,827,875,1124,840,1124,1124,1124,4,0,2,4,57,520,8,12,11,12,1695,9,4,0,44,0,8,4,0,50,0,2,50,50,1103,1113,1124,771,116,103,15.0,13.0,452,69,72,15.0,15.0,1746,147,145,8,8,201,22,15,10,7
1700,18,3,0,43,69,0,0,0,104,13,117,626,626,747,826,902,1120,843,1131,1139,1148,5,0,0,7,51,474,3,12,11,12,2820,51,4,2,7,3,7,0,0,0,0,3,0,0,1116,1126,1137,1972,139,143,7.0,7.0,525,37,41,7.0,7.0,2197,199,187,9,8,203,14,12,6,5
1700,18,3,1,142,28,0,119,0,0,14,133,621,621,756,817,882,1123,837,1116,1123,1129,6,0,1,3,55.5,452,4,12,11,12,1401,16,4,2,25,12,12,3,2,25,16,3,33,33,1121,1126,1129,2609,362,281,13.0,10.0,297,28,37,9.0,12.0,2230,230,201,10,9,147,13,15,8,10
1700,18,3,1,114,35,0,41,0,0,84,125,627,627,758,829,888,1128,845,1122,1128,1134,12,0,2,4,53,498,4,12,11,12,1704,15,3,6,20,40,10,2,5,20,50,3,33,66,1122,1127,1138,6578,1332,995,20.0,15.0,494,112,71,22.0,14.0,2097,218,178,10,8,272,30,30,11,11
